MJD FILTER EXPTIME AIRMASS EPOCH
57070.05965991 r 86.0 1.78 1.0
57070.12730421 g 86.0 1.29 2.0
57070.21274273 g 86.0 1.19 3.0
57070.2813862 g 86.0 1.39 4.0
57071.05610099 g 86.0 1.79 5.0
57071.12387811 g 86.0 1.29 6.0
57071.19154934 g 86.0 1.18 7.0
57071.26151195 g 86.0 1.31 8.0
57071.33048099 g 86.0 1.86 9.0
57072.05285531 g 86.0 1.79 10.0
57072.12046292 g 86.0 1.29 11.0
57072.18971201 g 86.0 1.18 12.0
57072.25846465 g 86.0 1.31 13.0
57072.32746624 g 86.0 1.86 14.0
57073.05022893 g 86.0 1.79 15.0
57074.04794827 g 86.0 1.79 16.0
57074.31496807 g 86.0 1.77 17.0
57075.04540674 g 86.0 1.78 18.0
57075.11298897 g 86.0 1.29 19.0
57075.18067623 g 86.0 1.18 20.0
57075.24934311 g 86.0 1.3 21.0
57075.31799469 g 86.0 1.84 22.0
57077.02998688 r 86.0 1.93 23.0
57077.09773957 g 86.0 1.33 24.0
57077.1587198 g 86.0 1.18 25.0
57080.08913012 g 86.0 1.33 26.0
57080.15686999 g 86.0 1.18 27.0
57095.08859905 r 86.0 1.21 28.0
