MJD FILTER EXPTIME AIRMASS EPOCH
57070.06503515 r 86.0 1.54 1.0
57070.13263391 g 86.0 1.17 2.0
57070.21809529 g 86.0 1.11 3.0
57070.28684517 g 86.0 1.3 4.0
57070.33383679 g 86.0 1.67 5.0
57071.06149627 g 86.0 1.54 6.0
57071.12918955 g 86.0 1.17 7.0
57071.19691785 g 86.0 1.09 8.0
57071.26705363 g 86.0 1.22 9.0
57071.33603107 g 86.0 1.72 10.0
57072.05817764 g 86.0 1.55 11.0
57072.1258073 g 86.0 1.18 12.0
57072.19518265 g 86.0 1.09 13.0
57072.26379222 g 86.0 1.22 14.0
57072.33302423 g 86.0 1.72 15.0
57073.05560247 g 86.0 1.55 16.0
57074.05327707 g 86.0 1.55 17.0
57074.32029495 g 86.0 1.64 18.0
57075.0508109 g 86.0 1.54 19.0
57075.11828822 g 86.0 1.17 20.0
57075.18615733 g 86.0 1.09 21.0
57075.25490282 g 86.0 1.22 22.0
57075.32353863 g 86.0 1.71 23.0
57077.03531111 r 86.0 1.65 24.0
57077.1030671 g 86.0 1.2 25.0
57077.16427867 g 86.0 1.09 26.0
57080.04250325 r 86.0 1.5 27.0
57080.09444611 g 86.0 1.21 28.0
57080.16229 g 86.0 1.09 29.0
57095.02804455 i 86.0 1.32 30.0
57095.11194922 r 86.0 1.1 31.0
57095.16194573 g 86.0 1.12 32.0
57089.22330615 r 102.0 1.24 33.0
57089.27819843 i 102.0 1.62 34.0
57090.22331903 g 102.0 1.26 35.0
