MJD FILTER EXPTIME AIRMASS EPOCH
57070.10137172 r 86.0 1.73 1.0
57070.18628606 g 86.0 1.21 2.0
57070.25481499 g 86.0 1.16 3.0
57070.32376554 g 86.0 1.36 4.0
57070.37066745 g 86.0 1.76 5.0
57071.09789924 g 86.0 1.74 6.0
57071.16530173 g 86.0 1.27 7.0
57071.30397848 g 86.0 1.28 8.0
57071.2336225 g 86.0 1.16 9.0
57071.37264909 g 86.0 1.82 10.0
57072.09461841 g 86.0 1.75 11.0
57072.16323862 g 86.0 1.26 12.0
57072.23186892 g 86.0 1.16 13.0
57072.30087713 g 86.0 1.28 14.0
57072.36971576 g 86.0 1.82 15.0
57073.09202961 g 86.0 1.75 16.0
57074.08914244 g 86.0 1.75 17.0
57074.35931969 g 86.0 1.75 18.0
57075.08708498 g 86.0 1.74 19.0
57075.15439007 g 86.0 1.27 20.0
57075.22300306 g 86.0 1.16 21.0
57075.29174893 g 86.0 1.28 22.0
57075.36037681 g 86.0 1.8 23.0
57077.07188206 r 86.0 1.87 24.0
57077.2007616 g 86.0 1.16 25.0
57078.20167906 g 86.0 1.16 26.0
57080.06584113 r 86.0 1.84 27.0
57080.13055076 g 86.0 1.31 28.0
57080.19913462 g 86.0 1.16 29.0
57095.06373319 i 86.0 1.45 30.0
57095.14065274 r 86.0 1.17 31.0
57095.19890127 g 86.0 1.18 32.0
57089.25594063 r 102.0 1.29 33.0
57090.2559656 g 102.0 1.3 34.0
57090.28429743 i 102.0 1.45 35.0
