MJD FILTER EXPTIME AIRMASS EPOCH
57070.1040433 r 86.0 1.54 1.0
57070.18894879 g 86.0 1.14 2.0
57070.25756591 g 86.0 1.13 3.0
57070.32655982 g 86.0 1.35 4.0
57070.37342 g 86.0 1.77 5.0
57071.10061976 g 86.0 1.55 6.0
57071.23638437 g 86.0 1.11 7.0
57071.30675435 g 86.0 1.27 8.0
57071.16796601 g 86.0 1.19 9.0
57071.37530808 g 86.0 1.84 10.0
57072.09728169 g 86.0 1.55 11.0
57072.1658917 g 86.0 1.18 12.0
57072.23465845 g 86.0 1.11 13.0
57072.30362648 g 86.0 1.26 14.0
57072.37250576 g 86.0 1.83 15.0
57073.09468881 g 86.0 1.55 16.0
57074.09177277 g 86.0 1.55 17.0
57074.36202686 g 86.0 1.76 18.0
57075.08974006 g 86.0 1.55 19.0
57075.15703899 g 86.0 1.19 20.0
57075.22565727 g 86.0 1.11 21.0
57075.29443509 g 86.0 1.26 22.0
57075.36303871 g 86.0 1.82 23.0
57077.07453803 r 86.0 1.64 24.0
57077.20341136 g 86.0 1.11 25.0
57078.20305699 g 86.0 1.11 26.0
57080.06724206 r 86.0 1.63 27.0
57080.13322436 g 86.0 1.22 28.0
57080.20179077 g 86.0 1.11 29.0
57095.06640228 i 86.0 1.33 30.0
57095.14203885 r 86.0 1.12 31.0
57095.20157315 g 86.0 1.15 32.0
57089.25757778 r 102.0 1.27 33.0
57090.25753906 g 102.0 1.28 34.0
57090.2859434 i 102.0 1.44 35.0
