MJD FILTER EXPTIME AIRMASS EPOCH
57070.06370703 r 86.0 1.56 1.0
57070.13129269 g 86.0 1.19 2.0
57070.21672148 g 86.0 1.13 3.0
57070.2854458 g 86.0 1.33 4.0
57070.3324582 g 86.0 1.73 5.0
57071.06010692 g 86.0 1.57 6.0
57071.19553171 g 86.0 1.11 7.0
57071.26566433 g 86.0 1.25 8.0
57071.33464889 g 86.0 1.8 9.0
57072.05684119 g 86.0 1.57 10.0
57072.12446658 g 86.0 1.19 11.0
57072.19379214 g 86.0 1.11 12.0
57072.26246623 g 86.0 1.25 13.0
57072.33163606 g 86.0 1.79 14.0
57073.05421273 g 86.0 1.57 15.0
57074.0519003 g 86.0 1.57 16.0
57074.31891772 g 86.0 1.7 17.0
57075.04948391 g 86.0 1.56 18.0
57075.11695127 g 86.0 1.19 19.0
57075.18476795 g 86.0 1.11 20.0
57075.25353178 g 86.0 1.25 21.0
57075.3221541 g 86.0 1.78 22.0
57077.03398495 r 86.0 1.67 23.0
57077.10173691 g 86.0 1.22 24.0
57077.16289154 g 86.0 1.11 25.0
57080.04116631 r 86.0 1.51 26.0
57080.09311404 g 86.0 1.22 27.0
57080.16096658 g 86.0 1.11 28.0
57095.02670852 i 86.0 1.33 29.0
57095.11057135 r 86.0 1.11 30.0
57095.16056369 g 86.0 1.14 31.0
57089.22179365 r 102.0 1.28 32.0
57089.2766792 i 102.0 1.68 33.0
57090.22179783 g 102.0 1.29 34.0
