MJD FILTER EXPTIME AIRMASS EPOCH
57070.07715293 r 86.0 1.56 1.0
57070.14467221 g 86.0 1.19 2.0
57070.23026602 g 86.0 1.13 3.0
57070.2989133 g 86.0 1.34 4.0
57070.3461078 g 86.0 1.74 5.0
57071.07362805 g 86.0 1.57 6.0
57071.14123831 g 86.0 1.19 7.0
57071.20910996 g 86.0 1.11 8.0
57071.27932325 g 86.0 1.26 9.0
57071.3483679 g 86.0 1.81 10.0
57072.07040847 g 86.0 1.57 11.0
57072.13783713 g 86.0 1.19 12.0
57072.20756475 g 86.0 1.11 13.0
57072.27632863 g 86.0 1.26 14.0
57072.34532536 g 86.0 1.81 15.0
57073.06774124 g 86.0 1.57 16.0
57074.06517764 g 86.0 1.57 17.0
57074.33254133 g 86.0 1.71 18.0
57075.06295996 g 86.0 1.56 19.0
57075.13031053 g 86.0 1.19 20.0
57075.19843508 g 86.0 1.11 21.0
57075.26728551 g 86.0 1.25 22.0
57075.33582082 g 86.0 1.79 23.0
57077.04750701 r 86.0 1.67 24.0
57077.11508154 g 86.0 1.22 25.0
57077.17654573 g 86.0 1.11 26.0
57080.10647239 g 86.0 1.22 27.0
57080.17458742 g 86.0 1.11 28.0
57095.03880801 i 86.0 1.34 29.0
57095.12172545 r 86.0 1.12 30.0
57095.17421316 g 86.0 1.15 31.0
57089.23418864 r 102.0 1.27 32.0
57090.23430306 g 102.0 1.29 33.0
57090.26232636 i 102.0 1.45 34.0
