MJD FILTER EXPTIME AIRMASS EPOCH
57070.07848969 r 86.0 1.54 1.0
57070.14600929 g 86.0 1.17 2.0
57070.2316366 g 86.0 1.11 3.0
57070.30024278 g 86.0 1.3 4.0
57070.34750502 g 86.0 1.67 5.0
57071.07495781 g 86.0 1.55 6.0
57071.14256706 g 86.0 1.18 7.0
57071.28071209 g 86.0 1.23 8.0
57071.2104398 g 86.0 1.1 9.0
57071.34970578 g 86.0 1.74 10.0
57072.07180928 g 86.0 1.55 11.0
57072.13917729 g 86.0 1.18 12.0
57072.2089537 g 86.0 1.1 13.0
57072.27770695 g 86.0 1.23 14.0
57072.34666077 g 86.0 1.73 15.0
57073.06913804 g 86.0 1.55 16.0
57074.06649348 g 86.0 1.55 17.0
57074.33385208 g 86.0 1.64 18.0
57075.06428608 g 86.0 1.54 19.0
57075.13164575 g 86.0 1.18 20.0
57075.19981463 g 86.0 1.1 21.0
57075.26867672 g 86.0 1.22 22.0
57075.33718771 g 86.0 1.72 23.0
57077.04884664 r 86.0 1.65 24.0
57077.11644023 g 86.0 1.21 25.0
57077.17793013 g 86.0 1.1 26.0
57078.18652871 g 86.0 1.09 27.0
57080.05085914 r 86.0 1.54 28.0
57080.10780638 g 86.0 1.21 29.0
57080.17596451 g 86.0 1.09 30.0
57095.04016365 i 86.0 1.32 31.0
57095.12306186 r 86.0 1.1 32.0
57095.17560319 g 86.0 1.12 33.0
57089.23570247 r 102.0 1.24 34.0
57090.23581747 g 102.0 1.26 35.0
57090.26385137 i 102.0 1.41 36.0
