MJD FILTER EXPTIME AIRMASS EPOCH
57070.10538098 r 86.0 1.52 1.0
57070.19028167 g 86.0 1.13 2.0
57070.25895296 g 86.0 1.11 3.0
57070.32793247 g 86.0 1.31 4.0
57070.37480805 g 86.0 1.7 5.0
57071.1019546 g 86.0 1.53 6.0
57071.23777209 g 86.0 1.09 7.0
57071.3081428 g 86.0 1.23 8.0
57071.16929489 g 86.0 1.17 9.0
57071.37664417 g 86.0 1.75 10.0
57072.09861273 g 86.0 1.53 11.0
57072.1672327 g 86.0 1.17 12.0
57072.2360367 g 86.0 1.09 13.0
57072.30501508 g 86.0 1.23 14.0
57072.37388254 g 86.0 1.75 15.0
57073.09601431 g 86.0 1.53 16.0
57074.09309452 g 86.0 1.53 17.0
57074.36334384 g 86.0 1.69 18.0
57075.09109123 g 86.0 1.52 19.0
57075.15837813 g 86.0 1.17 20.0
57075.22699902 g 86.0 1.09 21.0
57075.29576686 g 86.0 1.23 22.0
57075.36438056 g 86.0 1.74 23.0
57077.07587003 r 86.0 1.62 24.0
57077.20478415 g 86.0 1.09 25.0
57078.20443608 g 86.0 1.09 26.0
57080.1345549 g 86.0 1.2 27.0
57080.20313175 g 86.0 1.09 28.0
57095.06772828 i 86.0 1.31 29.0
57095.14342912 r 86.0 1.1 30.0
57095.20290977 g 86.0 1.13 31.0
57089.25908991 r 102.0 1.23 32.0
57090.25906041 g 102.0 1.25 33.0
57090.28746165 i 102.0 1.4 34.0
