MJD FILTER EXPTIME AIRMASS EPOCH
57070.04451736 r 86.0 1.73 1.0
57070.11256501 g 86.0 1.27 2.0
57070.19772264 g 86.0 1.19 3.0
57070.26635974 g 86.0 1.41 4.0
57071.0413614 g 86.0 1.73 5.0
57071.10912299 g 86.0 1.27 6.0
57071.17677677 g 86.0 1.18 7.0
57071.24494045 g 86.0 1.32 8.0
57071.31555828 g 86.0 1.93 9.0
57072.03804107 g 86.0 1.74 10.0
57072.10577281 g 86.0 1.28 11.0
57072.1746915 g 86.0 1.18 12.0
57072.24325653 g 86.0 1.32 13.0
57072.31254842 g 86.0 1.92 14.0
57073.03552404 g 86.0 1.74 15.0
57073.10322575 g 86.0 1.28 16.0
57074.03337639 g 86.0 1.73 17.0
57074.29754075 g 86.0 1.79 18.0
57075.03066191 g 86.0 1.73 19.0
57075.09826711 g 86.0 1.27 20.0
57075.16557677 g 86.0 1.18 21.0
57075.23442728 g 86.0 1.32 22.0
57075.30305193 g 86.0 1.9 23.0
57077.01531302 r 86.0 1.86 24.0
57077.08304005 g 86.0 1.31 25.0
57077.1436587 g 86.0 1.18 26.0
57080.0261138 r 86.0 1.63 27.0
57080.07441148 g 86.0 1.31 28.0
57080.14179449 g 86.0 1.18 29.0
57095.01557223 i 86.0 1.4 30.0
57095.07366574 r 86.0 1.2 31.0
57095.14803244 g 86.0 1.22 32.0
57089.20928095 r 102.0 1.38 33.0
57089.26424132 i 102.0 1.89 34.0
57090.20929091 g 102.0 1.4 35.0
