MJD FILTER EXPTIME AIRMASS EPOCH
57070.05409164 r 86.0 1.59 1.0
57070.12193703 g 86.0 1.2 2.0
57070.2072152 g 86.0 1.12 3.0
57070.27585396 g 86.0 1.32 4.0
57071.0507509 g 86.0 1.59 5.0
57071.11850637 g 86.0 1.2 6.0
57071.18616969 g 86.0 1.11 7.0
57071.25466776 g 86.0 1.24 8.0
57071.32507001 g 86.0 1.75 9.0
57072.04742741 g 86.0 1.6 10.0
57072.11513323 g 86.0 1.2 11.0
57072.18418571 g 86.0 1.11 12.0
57072.25293084 g 86.0 1.24 13.0
57072.32205793 g 86.0 1.75 14.0
57073.04486939 g 86.0 1.6 15.0
57074.04265359 g 86.0 1.59 16.0
57074.30825616 g 86.0 1.65 17.0
57075.04005092 g 86.0 1.59 18.0
57075.10763703 g 86.0 1.2 19.0
57075.17516445 g 86.0 1.11 20.0
57075.24394781 g 86.0 1.24 21.0
57075.31254092 g 86.0 1.73 22.0
57077.02464959 r 86.0 1.7 23.0
57077.09238971 g 86.0 1.23 24.0
57077.15330812 g 86.0 1.11 25.0
57080.03563565 r 86.0 1.51 26.0
57080.0837553 g 86.0 1.23 27.0
57080.15145061 g 86.0 1.11 28.0
57095.02094931 i 86.0 1.33 29.0
57095.08325379 r 86.0 1.13 30.0
57095.15361321 g 86.0 1.14 31.0
57089.21543765 r 102.0 1.28 32.0
57089.27040755 i 102.0 1.69 33.0
57090.2154364 g 102.0 1.29 34.0
