MJD FILTER EXPTIME AIRMASS EPOCH
57070.04721919 r 86.0 1.68 1.0
57070.11526285 g 86.0 1.25 2.0
57070.20041734 g 86.0 1.16 3.0
57070.26905652 g 86.0 1.37 4.0
57071.04405803 g 86.0 1.69 5.0
57071.11182092 g 86.0 1.25 6.0
57071.17947208 g 86.0 1.15 7.0
57071.24772124 g 86.0 1.29 8.0
57071.31826685 g 86.0 1.86 9.0
57072.04072927 g 86.0 1.69 10.0
57072.10844774 g 86.0 1.25 11.0
57072.17737855 g 86.0 1.15 12.0
57072.24599113 g 86.0 1.29 13.0
57072.31522867 g 86.0 1.85 14.0
57073.03820424 g 86.0 1.69 15.0
57074.03604901 g 86.0 1.68 16.0
57074.30026857 g 86.0 1.73 17.0
57074.30157246 r 86.0 1.74 18.0
57075.03335232 g 86.0 1.68 19.0
57075.10096184 g 86.0 1.25 20.0
57075.16833536 g 86.0 1.15 21.0
57075.23711745 g 86.0 1.29 22.0
57075.30574613 g 86.0 1.84 23.0
57077.01800131 r 86.0 1.81 24.0
57077.08572273 g 86.0 1.28 25.0
57077.14645102 g 86.0 1.16 26.0
57080.02881228 r 86.0 1.59 27.0
57080.07709215 g 86.0 1.28 28.0
57080.14459793 g 86.0 1.15 29.0
57095.01826331 i 86.0 1.37 30.0
57095.07641324 r 86.0 1.18 31.0
57095.15083981 g 86.0 1.19 32.0
57089.2123373 r 102.0 1.35 33.0
57089.26731406 i 102.0 1.83 34.0
57090.21234576 g 102.0 1.36 35.0
