MJD FILTER EXPTIME AIRMASS EPOCH
57070.08385443 r 86.0 1.7 1.0
57070.15136715 g 86.0 1.25 2.0
57070.23719479 g 86.0 1.17 3.0
57070.30582956 g 86.0 1.37 4.0
57070.35286773 g 86.0 1.79 5.0
57071.0804328 g 86.0 1.71 6.0
57071.14791682 g 86.0 1.26 7.0
57071.21601546 g 86.0 1.16 8.0
57071.28615234 g 86.0 1.29 9.0
57071.35514094 g 86.0 1.86 10.0
57072.07718898 g 86.0 1.71 11.0
57072.14454193 g 86.0 1.26 12.0
57072.21430345 g 86.0 1.16 13.0
57072.28314082 g 86.0 1.29 14.0
57072.35224089 g 86.0 1.85 15.0
57073.07450125 g 86.0 1.71 16.0
57074.07191854 g 86.0 1.71 17.0
57074.33928987 g 86.0 1.75 18.0
57075.06964158 g 86.0 1.71 19.0
57075.13700116 g 86.0 1.26 20.0
57075.20517244 g 86.0 1.16 21.0
57075.27404158 g 86.0 1.29 22.0
57075.34275224 g 86.0 1.83 23.0
57077.05431431 r 86.0 1.83 24.0
57077.12176822 g 86.0 1.29 25.0
57077.18328707 g 86.0 1.16 26.0
57078.19066404 g 86.0 1.16 27.0
57080.05492649 r 86.0 1.72 28.0
57080.11315353 g 86.0 1.29 29.0
57080.18131529 g 86.0 1.16 30.0
57095.04558734 i 86.0 1.44 31.0
57095.12714276 r 86.0 1.16 32.0
57095.18096134 g 86.0 1.18 33.0
57089.24045537 r 102.0 1.31 34.0
57090.24056211 g 102.0 1.32 35.0
57090.26858206 i 102.0 1.49 36.0
