MJD FILTER EXPTIME AIRMASS EPOCH
57070.09332885 r 86.0 1.58 1.0
57070.16074398 g 86.0 1.18 2.0
57070.24669476 g 86.0 1.1 3.0
57070.31554757 g 86.0 1.27 4.0
57070.3624749 g 86.0 1.61 5.0
57071.08980974 g 86.0 1.59 6.0
57071.15728171 g 86.0 1.19 7.0
57071.22550415 g 86.0 1.09 8.0
57071.29575086 g 86.0 1.21 9.0
57071.36462349 g 86.0 1.67 10.0
57072.08661095 g 86.0 1.59 11.0
57072.15522026 g 86.0 1.18 12.0
57072.22365881 g 86.0 1.09 13.0
57072.29264506 g 86.0 1.2 14.0
57072.361653 g 86.0 1.66 15.0
57073.08396316 g 86.0 1.59 16.0
57074.08119404 g 86.0 1.59 17.0
57074.35002704 g 86.0 1.6 18.0
57075.0790603 g 86.0 1.58 19.0
57075.14637484 g 86.0 1.19 20.0
57075.28372136 g 86.0 1.2 21.0
57075.35224023 g 86.0 1.65 22.0
57077.06381439 r 86.0 1.69 23.0
57077.13113312 g 86.0 1.22 24.0
57077.19277995 g 86.0 1.1 25.0
57078.19621654 g 86.0 1.09 26.0
57080.12250926 g 86.0 1.22 27.0
57080.19097411 g 86.0 1.09 28.0
57095.05508243 i 86.0 1.35 29.0
57095.13389266 r 86.0 1.1 30.0
57095.19064225 g 86.0 1.11 31.0
57089.2481592 r 102.0 1.21 32.0
57090.24830616 g 102.0 1.22 33.0
57090.27634663 i 102.0 1.36 34.0
