MJD FILTER EXPTIME AIRMASS EPOCH
57070.09063033 r 86.0 1.54 1.0
57070.15804013 g 86.0 1.18 2.0
57070.24395245 g 86.0 1.13 3.0
57070.31277437 g 86.0 1.35 4.0
57070.35977049 g 86.0 1.77 5.0
57071.08710794 g 86.0 1.55 6.0
57071.15457441 g 86.0 1.18 7.0
57071.29297656 g 86.0 1.27 8.0
57071.2227531 g 86.0 1.11 9.0
57071.36187614 g 86.0 1.84 10.0
57072.08386759 g 86.0 1.55 11.0
57072.15120812 g 86.0 1.19 12.0
57072.22096548 g 86.0 1.11 13.0
57072.28987494 g 86.0 1.26 14.0
57072.35896231 g 86.0 1.83 15.0
57073.08119338 g 86.0 1.55 16.0
57074.07852592 g 86.0 1.55 17.0
57074.34599727 g 86.0 1.73 18.0
57075.07637599 g 86.0 1.54 19.0
57075.14367211 g 86.0 1.18 20.0
57075.21207564 g 86.0 1.11 21.0
57075.28094471 g 86.0 1.26 22.0
57075.3495036 g 86.0 1.82 23.0
57077.06105532 r 86.0 1.64 24.0
57077.12844638 g 86.0 1.21 25.0
57077.19008646 g 86.0 1.11 26.0
57080.11982261 g 86.0 1.22 27.0
57080.18823301 g 86.0 1.11 28.0
57095.05235649 i 86.0 1.33 29.0
57095.13119723 r 86.0 1.12 30.0
57095.18787413 g 86.0 1.15 31.0
57089.24506026 r 102.0 1.27 32.0
57090.24518946 g 102.0 1.28 33.0
57090.27320811 i 102.0 1.45 34.0
