MJD FILTER EXPTIME AIRMASS EPOCH
57070.04992296 r 86.0 1.57 1.0
57070.11792798 g 86.0 1.19 2.0
57070.20307489 g 86.0 1.12 3.0
57070.27171543 g 86.0 1.33 4.0
57071.04671354 g 86.0 1.57 5.0
57071.11447506 g 86.0 1.19 6.0
57071.18212723 g 86.0 1.11 7.0
57071.32098869 g 86.0 1.79 8.0
57071.25050352 g 86.0 1.24 9.0
57072.04339038 g 86.0 1.58 10.0
57072.11110298 g 86.0 1.19 11.0
57072.18004535 g 86.0 1.11 12.0
57072.24876795 g 86.0 1.25 13.0
57072.31798865 g 86.0 1.78 14.0
57073.04085703 g 86.0 1.57 15.0
57074.03868614 g 86.0 1.57 16.0
57074.30424685 g 86.0 1.68 17.0
57075.03602445 g 86.0 1.57 18.0
57075.10362362 g 86.0 1.19 19.0
57075.17110739 g 86.0 1.11 20.0
57075.239859 g 86.0 1.25 21.0
57075.30842422 g 86.0 1.76 22.0
57077.02065879 r 86.0 1.67 23.0
57077.08837666 g 86.0 1.22 24.0
57077.14923283 g 86.0 1.11 25.0
57080.0315336 r 86.0 1.49 26.0
57080.07974873 g 86.0 1.22 27.0
57080.14738086 g 86.0 1.11 28.0
57095.07919105 r 86.0 1.13 29.0
