MJD FILTER EXPTIME AIRMASS EPOCH
57070.05687673 r 86.0 1.65 1.0
57070.1246159 g 86.0 1.24 2.0
57070.20999628 g 86.0 1.17 3.0
57070.27864093 g 86.0 1.39 4.0
57071.05341412 g 86.0 1.65 5.0
57071.12116997 g 86.0 1.24 6.0
57071.18881969 g 86.0 1.15 7.0
57071.25747272 g 86.0 1.3 8.0
57071.25881636 r 86.0 1.3 9.0
57071.32773737 g 86.0 1.9 10.0
57072.0501682 g 86.0 1.66 11.0
57072.11778771 g 86.0 1.24 12.0
57072.18696366 g 86.0 1.15 13.0
57072.25572129 g 86.0 1.3 14.0
57072.32474501 g 86.0 1.9 15.0
57073.04752122 g 86.0 1.66 16.0
57074.04528663 g 86.0 1.65 17.0
57074.3109203 g 86.0 1.78 18.0
57074.31222231 r 86.0 1.8 19.0
57075.0427147 g 86.0 1.65 20.0
57075.1103064 g 86.0 1.24 21.0
57075.17793926 g 86.0 1.15 22.0
57075.24660729 g 86.0 1.3 23.0
57075.31524928 g 86.0 1.88 24.0
57077.02730005 r 86.0 1.77 25.0
57077.09504687 g 86.0 1.27 26.0
57077.15598058 g 86.0 1.15 27.0
57080.03830545 r 86.0 1.56 28.0
57080.08641667 g 86.0 1.27 29.0
57080.15410153 g 86.0 1.15 30.0
57095.02361629 i 86.0 1.37 31.0
57095.0859134 r 86.0 1.17 32.0
57095.15639019 g 86.0 1.19 33.0
57089.21848741 r 102.0 1.35 34.0
57089.273442 i 102.0 1.83 35.0
57090.21850251 g 102.0 1.36 36.0
