MJD FILTER EXPTIME AIRMASS EPOCH
57070.09463561 r 86.0 1.55 1.0
57070.1620737 g 86.0 1.18 2.0
57070.248004 g 86.0 1.12 3.0
57070.31693425 g 86.0 1.33 4.0
57070.36379446 g 86.0 1.72 5.0
57071.09112486 g 86.0 1.56 6.0
57071.22682214 g 86.0 1.11 7.0
57071.15861998 g 86.0 1.18 8.0
57071.29714544 g 86.0 1.25 9.0
57071.36594153 g 86.0 1.78 10.0
57072.08793005 g 86.0 1.56 11.0
57072.15653744 g 86.0 1.18 12.0
57072.2250374 g 86.0 1.11 13.0
57072.2940204 g 86.0 1.24 14.0
57072.36297091 g 86.0 1.78 15.0
57073.08533953 g 86.0 1.56 16.0
57074.0825055 g 86.0 1.56 17.0
57074.35133401 g 86.0 1.7 18.0
57075.08038284 g 86.0 1.55 19.0
57075.14769423 g 86.0 1.18 20.0
57075.21614111 g 86.0 1.11 21.0
57075.28504828 g 86.0 1.24 22.0
57075.35355661 g 86.0 1.76 23.0
57077.06514046 r 86.0 1.65 24.0
57077.13243912 g 86.0 1.21 25.0
57077.19410095 g 86.0 1.11 26.0
57078.19754838 g 86.0 1.1 27.0
57080.12383175 g 86.0 1.22 28.0
57080.19230676 g 86.0 1.1 29.0
57095.05640686 i 86.0 1.33 30.0
57095.13523601 r 86.0 1.11 31.0
57095.19203753 g 86.0 1.14 32.0
57089.24969673 r 102.0 1.25 33.0
57090.24981263 g 102.0 1.26 34.0
57090.27796759 i 102.0 1.42 35.0
