MJD FILTER EXPTIME AIRMASS EPOCH
57070.09198343 r 86.0 1.54 1.0
57070.15938878 g 86.0 1.17 2.0
57070.24529391 g 86.0 1.1 3.0
57070.31416094 g 86.0 1.3 4.0
57070.36112629 g 86.0 1.66 5.0
57071.08844974 g 86.0 1.54 6.0
57071.15592811 g 86.0 1.17 7.0
57071.29439274 g 86.0 1.22 8.0
57071.22409724 g 86.0 1.09 9.0
57071.36321911 g 86.0 1.72 10.0
57072.08521015 g 86.0 1.55 11.0
57072.15255497 g 86.0 1.17 12.0
57072.15387266 r 86.0 1.17 13.0
57072.22230607 g 86.0 1.09 14.0
57072.29122619 g 86.0 1.22 15.0
57072.36030664 g 86.0 1.72 16.0
57073.0825483 g 86.0 1.55 17.0
57074.07986269 g 86.0 1.55 18.0
57074.34739162 g 86.0 1.63 19.0
57074.3486918 r 86.0 1.64 20.0
57075.07771914 g 86.0 1.54 21.0
57075.14501983 g 86.0 1.17 22.0
57075.21347241 g 86.0 1.09 23.0
57075.28233165 g 86.0 1.22 24.0
57075.35084779 g 86.0 1.7 25.0
57077.06239812 r 86.0 1.64 26.0
57077.12978362 g 86.0 1.2 27.0
57077.19143372 g 86.0 1.09 28.0
57078.19482838 g 86.0 1.09 29.0
57080.1211734 g 86.0 1.2 30.0
57080.18962445 g 86.0 1.09 31.0
57080.05905566 r 86.0 1.59 32.0
57095.05372916 i 86.0 1.32 33.0
57095.13254106 r 86.0 1.1 34.0
57095.18925975 g 86.0 1.12 35.0
57089.24660555 r 102.0 1.23 36.0
57090.24671902 g 102.0 1.24 37.0
57090.27481922 i 102.0 1.38 38.0
