MJD FILTER EXPTIME AIRMASS EPOCH
57070.04317795 r 86.0 1.66 1.0
57070.11122474 g 86.0 1.24 2.0
57070.19633822 g 86.0 1.17 3.0
57070.26497343 g 86.0 1.39 4.0
57071.0399648 g 86.0 1.66 5.0
57071.10778784 g 86.0 1.24 6.0
57071.24361651 g 86.0 1.29 7.0
57071.31416005 g 86.0 1.89 8.0
57071.1753841 g 86.0 1.15 9.0
57072.0367111 g 86.0 1.67 10.0
57072.10444961 g 86.0 1.24 11.0
57072.17330693 g 86.0 1.15 12.0
57072.24191508 g 86.0 1.3 13.0
57072.31114751 g 86.0 1.89 14.0
57073.03420083 g 86.0 1.66 15.0
57073.1018959 g 86.0 1.24 16.0
57074.03205721 g 86.0 1.66 17.0
57074.2962179 g 86.0 1.76 18.0
57075.02934161 g 86.0 1.66 19.0
57075.09693572 g 86.0 1.24 20.0
57075.16424946 g 86.0 1.15 21.0
57075.23302758 g 86.0 1.3 22.0
57075.30165278 g 86.0 1.87 23.0
57077.0139938 r 86.0 1.78 24.0
57077.08170693 g 86.0 1.27 25.0
57077.14232757 g 86.0 1.15 26.0
57080.02478229 r 86.0 1.57 27.0
57080.07308024 g 86.0 1.27 28.0
57080.14046131 g 86.0 1.15 29.0
