MJD FILTER EXPTIME AIRMASS EPOCH
57070.07580813 r 86.0 1.65 1.0
57070.14333144 g 86.0 1.23 2.0
57070.22894381 g 86.0 1.14 3.0
57070.29758515 g 86.0 1.34 4.0
57070.34472777 g 86.0 1.73 5.0
57071.0722943 g 86.0 1.66 6.0
57071.13989791 g 86.0 1.23 7.0
57071.20779129 g 86.0 1.13 8.0
57071.27793161 g 86.0 1.26 9.0
57071.34702845 g 86.0 1.8 10.0
57072.06902997 g 86.0 1.66 11.0
57072.13651632 g 86.0 1.23 12.0
57072.20617216 g 86.0 1.13 13.0
57072.27492404 g 86.0 1.26 14.0
57072.34399827 g 86.0 1.8 15.0
57073.06639169 g 86.0 1.66 16.0
57074.06387053 g 86.0 1.66 17.0
57074.33121815 g 86.0 1.7 18.0
57075.06163223 g 86.0 1.65 19.0
57075.12898498 g 86.0 1.23 20.0
57075.19712156 g 86.0 1.13 21.0
57075.26589482 g 86.0 1.26 22.0
57075.33441329 g 86.0 1.78 23.0
57077.04617642 r 86.0 1.77 24.0
57077.11375507 g 86.0 1.26 25.0
57077.17515757 g 86.0 1.14 26.0
57080.04946787 r 86.0 1.64 27.0
57080.10515235 g 86.0 1.26 28.0
57080.17326837 g 86.0 1.13 29.0
57095.03748123 i 86.0 1.4 30.0
57095.1203941 r 86.0 1.14 31.0
57095.17282843 g 86.0 1.16 32.0
57089.2326772 r 102.0 1.28 33.0
57090.23279324 g 102.0 1.29 34.0
57090.26080515 i 102.0 1.45 35.0
