MJD FILTER EXPTIME AIRMASS EPOCH
57070.06904661 r 86.0 1.64 1.0
57070.13664602 g 86.0 1.22 2.0
57070.22214795 g 86.0 1.14 3.0
57070.29086787 g 86.0 1.34 4.0
57070.33787442 g 86.0 1.73 5.0
57071.0655325 g 86.0 1.65 6.0
57071.1331999 g 86.0 1.23 7.0
57071.27110586 g 86.0 1.26 8.0
57071.20093471 g 86.0 1.13 9.0
57071.34022143 g 86.0 1.79 10.0
57072.06227628 g 86.0 1.66 11.0
57072.12982383 g 86.0 1.23 12.0
57072.19922562 g 86.0 1.13 13.0
57072.26803016 g 86.0 1.26 14.0
57072.33720201 g 86.0 1.79 15.0
57073.05963729 g 86.0 1.65 16.0
57074.0572535 g 86.0 1.65 17.0
57074.32435937 g 86.0 1.7 18.0
57075.05490399 g 86.0 1.65 19.0
57075.12229077 g 86.0 1.22 20.0
57075.19031634 g 86.0 1.13 21.0
57075.25895616 g 86.0 1.26 22.0
57075.32757325 g 86.0 1.77 23.0
57077.03946272 r 86.0 1.77 24.0
57077.10707375 g 86.0 1.26 25.0
57077.16829391 g 86.0 1.13 26.0
57080.09847285 g 86.0 1.26 27.0
57080.16648641 g 86.0 1.13 28.0
57095.16596698 g 86.0 1.16 29.0
