MJD FILTER EXPTIME AIRMASS EPOCH
57070.0513244 r 86.0 1.55 1.0
57070.11925839 g 86.0 1.17 2.0
57070.20441096 g 86.0 1.1 3.0
57070.27305126 g 86.0 1.29 4.0
57071.04805994 g 86.0 1.55 5.0
57071.11580928 g 86.0 1.18 6.0
57071.18348765 g 86.0 1.09 7.0
57071.32237941 g 86.0 1.71 8.0
57071.25188853 g 86.0 1.21 9.0
57072.04472186 g 86.0 1.56 10.0
57072.11243455 g 86.0 1.18 11.0
57072.18137706 g 86.0 1.09 12.0
57072.25015373 g 86.0 1.22 13.0
57072.31937191 g 86.0 1.71 14.0
57073.04218763 g 86.0 1.55 15.0
57074.03999874 g 86.0 1.55 16.0
57074.30556601 g 86.0 1.62 17.0
57075.03735185 g 86.0 1.55 18.0
57075.10495216 g 86.0 1.18 19.0
57075.17249681 g 86.0 1.09 20.0
57075.24125349 g 86.0 1.22 21.0
57075.30975735 g 86.0 1.69 22.0
57077.02198154 r 86.0 1.65 23.0
57077.08971731 g 86.0 1.21 24.0
57077.15062231 g 86.0 1.1 25.0
57080.03287236 r 86.0 1.47 26.0
57080.08107713 g 86.0 1.21 27.0
57080.14876709 g 86.0 1.09 28.0
57095.08057991 r 86.0 1.11 29.0
