MJD FILTER EXPTIME AIRMASS EPOCH
57070.08251783 r 86.0 1.64 1.0
57070.15002965 g 86.0 1.22 2.0
57070.23580264 g 86.0 1.14 3.0
57070.30444829 g 86.0 1.35 4.0
57070.35152968 g 86.0 1.75 5.0
57071.07909905 g 86.0 1.64 6.0
57071.14658262 g 86.0 1.23 7.0
57071.21461931 g 86.0 1.13 8.0
57071.28477404 g 86.0 1.27 9.0
57071.3537621 g 86.0 1.81 10.0
57072.07585348 g 86.0 1.65 11.0
57072.14320713 g 86.0 1.23 12.0
57072.21297058 g 86.0 1.13 13.0
57072.28174754 g 86.0 1.27 14.0
57072.35086079 g 86.0 1.81 15.0
57073.07317633 g 86.0 1.65 16.0
57074.0705368 g 86.0 1.65 17.0
57074.3378891 g 86.0 1.71 18.0
57075.0682983 g 86.0 1.64 19.0
57075.13566935 g 86.0 1.23 20.0
57075.20382945 g 86.0 1.13 21.0
57075.27270265 g 86.0 1.26 22.0
57075.34137193 g 86.0 1.79 23.0
57077.05298789 r 86.0 1.76 24.0
57077.12044933 g 86.0 1.26 25.0
57077.18194829 g 86.0 1.14 26.0
57078.18927365 g 86.0 1.13 27.0
57080.05359631 r 86.0 1.65 28.0
57080.11181946 g 86.0 1.26 29.0
57080.17998314 g 86.0 1.13 30.0
57080.20470384 r 86.0 1.14 31.0
57095.04424401 i 86.0 1.39 32.0
57095.12580416 r 86.0 1.14 33.0
57095.17962061 g 86.0 1.16 34.0
57089.23893171 r 102.0 1.28 35.0
57090.23904329 g 102.0 1.29 36.0
57090.26705655 i 102.0 1.46 37.0
