MJD FILTER EXPTIME AIRMASS EPOCH
57070.0582254 r 86.0 1.72 1.0
57070.1259416 g 86.0 1.27 2.0
57070.21138272 g 86.0 1.19 3.0
57070.2800182 g 86.0 1.42 4.0
57071.05474035 g 86.0 1.73 5.0
57071.12251113 g 86.0 1.27 6.0
57071.2601576 g 86.0 1.33 7.0
57071.19020244 g 86.0 1.18 8.0
57071.32907635 g 86.0 1.94 9.0
57072.05149527 g 86.0 1.73 10.0
57072.11910742 g 86.0 1.27 11.0
57072.18834938 g 86.0 1.18 12.0
57072.25710449 g 86.0 1.33 13.0
57072.32606579 g 86.0 1.94 14.0
57073.04886782 g 86.0 1.73 15.0
57074.04660559 g 86.0 1.73 16.0
57074.31358065 g 86.0 1.83 17.0
57075.04403466 g 86.0 1.72 18.0
57075.11163623 g 86.0 1.27 19.0
57075.17932505 g 86.0 1.18 20.0
57075.2479373 g 86.0 1.32 21.0
57075.31657796 g 86.0 1.92 22.0
57077.02862769 r 86.0 1.85 23.0
57077.0963837 g 86.0 1.31 24.0
57077.15731936 g 86.0 1.18 25.0
57080.03963914 r 86.0 1.62 26.0
57080.08775272 g 86.0 1.31 27.0
57080.15543998 g 86.0 1.18 28.0
57095.02494837 i 86.0 1.42 29.0
57095.08724921 r 86.0 1.2 30.0
57095.15777749 g 86.0 1.21 31.0
57089.22010048 r 102.0 1.37 32.0
57089.27497386 i 102.0 1.86 33.0
57090.22006345 g 102.0 1.39 34.0
