MJD FILTER EXPTIME AIRMASS EPOCH
57070.03919157 r 86.0 1.6 1.0
57070.1072727 g 86.0 1.19 2.0
57070.1921733 g 86.0 1.1 3.0
57070.2608982 g 86.0 1.27 4.0
57071.03332127 g 86.0 1.64 5.0
57071.03464703 r 86.0 1.62 6.0
57071.03596559 g 86.0 1.61 7.0
57071.10382115 g 86.0 1.19 8.0
57071.23962251 g 86.0 1.19 9.0
57071.17121997 g 86.0 1.09 10.0
57071.3100123 g 86.0 1.64 11.0
57072.02855128 g 86.0 1.66 12.0
57072.02986158 r 86.0 1.65 13.0
57072.03119658 g 86.0 1.63 14.0
57072.03271662 g 86.0 1.62 15.0
57072.10045379 g 86.0 1.19 16.0
57072.16913408 g 86.0 1.09 17.0
57072.23792058 g 86.0 1.2 18.0
57072.30698787 g 86.0 1.64 19.0
57073.02757399 r 86.0 1.64 20.0
57073.03021251 g 86.0 1.61 22.0
57073.09791047 g 86.0 1.19 23.0
57074.02679799 r 86.0 1.62 24.0
57074.02811828 g 86.0 1.61 25.0
57074.29098131 g 86.0 1.53 27.0
57075.02269622 r 86.0 1.63 28.0
57075.02535261 g 86.0 1.61 30.0
57075.09296336 g 86.0 1.19 31.0
57075.16025499 g 86.0 1.09 32.0
57075.22887919 g 86.0 1.2 33.0
57075.29764854 g 86.0 1.63 34.0
57077.00994146 r 86.0 1.72 35.0
57077.07773153 g 86.0 1.23 36.0
57077.13826247 g 86.0 1.1 37.0
57080.02079873 r 86.0 1.52 38.0
57080.06909134 g 86.0 1.23 39.0
57080.13649472 g 86.0 1.09 40.0
57095.06960481 r 86.0 1.12 41.0
