MJD FILTER EXPTIME AIRMASS EPOCH
57070.06237516 r 86.0 1.64 1.0
57070.12997024 g 86.0 1.22 2.0
57070.21540491 g 86.0 1.14 3.0
57070.28404489 g 86.0 1.34 4.0
57070.33105789 g 86.0 1.72 5.0
57071.05877849 g 86.0 1.65 6.0
57071.264276 g 86.0 1.26 7.0
57071.19421916 g 86.0 1.13 8.0
57071.33327488 g 86.0 1.79 9.0
57072.05551471 g 86.0 1.66 10.0
57072.12313679 g 86.0 1.23 11.0
57072.1924044 g 86.0 1.13 12.0
57072.26113289 g 86.0 1.26 13.0
57072.33025507 g 86.0 1.78 14.0
57073.0528986 g 86.0 1.66 15.0
57074.05058299 g 86.0 1.65 16.0
57074.31760031 g 86.0 1.69 17.0
57075.04814732 g 86.0 1.65 18.0
57075.11562387 g 86.0 1.23 19.0
57075.18336955 g 86.0 1.13 20.0
57075.25212798 g 86.0 1.26 21.0
57075.32076933 g 86.0 1.77 22.0
57077.03265315 r 86.0 1.77 23.0
57077.10040313 g 86.0 1.26 24.0
57077.16149978 g 86.0 1.13 25.0
57080.0917808 g 86.0 1.26 26.0
57080.15964647 g 86.0 1.13 27.0
57095.15916866 g 86.0 1.16 28.0
