MJD FILTER EXPTIME AIRMASS EPOCH
57070.08662662 r 86.0 1.78 1.0
57070.15405187 g 86.0 1.29 2.0
57070.23993614 g 86.0 1.19 3.0
57070.30860414 g 86.0 1.4 4.0
57070.35560289 g 86.0 1.82 5.0
57071.08311445 g 86.0 1.79 6.0
57071.15060142 g 86.0 1.29 7.0
57071.288899 g 86.0 1.32 8.0
57071.21875832 g 86.0 1.18 9.0
57071.35788399 g 86.0 1.9 10.0
57072.07987839 g 86.0 1.79 11.0
57072.14722845 g 86.0 1.3 12.0
57072.21698267 g 86.0 1.18 13.0
57072.28588782 g 86.0 1.32 14.0
57072.35499284 g 86.0 1.89 15.0
57073.07720094 g 86.0 1.79 16.0
57074.07457778 g 86.0 1.79 17.0
57074.34205305 g 86.0 1.79 18.0
57075.07237757 g 86.0 1.78 19.0
57075.13967977 g 86.0 1.29 20.0
57075.20791229 g 86.0 1.18 21.0
57075.27678817 g 86.0 1.31 22.0
57075.34551824 g 86.0 1.88 23.0
57077.05707412 r 86.0 1.92 24.0
57077.12445221 g 86.0 1.33 25.0
57077.18596944 g 86.0 1.19 26.0
57080.11583152 g 86.0 1.33 27.0
57080.1840652 g 86.0 1.18 28.0
57095.18370493 g 86.0 1.21 30.0
