MJD FILTER EXPTIME AIRMASS EPOCH
57070.09598103 r 86.0 1.63 1.0
57070.16342743 g 86.0 1.22 2.0
57070.24936079 g 86.0 1.14 3.0
57070.31829883 g 86.0 1.35 4.0
57070.3652113 g 86.0 1.75 5.0
57071.09247823 g 86.0 1.64 6.0
57071.15997763 g 86.0 1.22 7.0
57071.29850951 g 86.0 1.27 8.0
57071.22817408 g 86.0 1.13 9.0
57071.36731978 g 86.0 1.82 10.0
57072.08928078 g 86.0 1.64 11.0
57072.15789572 g 86.0 1.22 12.0
57072.22638958 g 86.0 1.13 13.0
57072.29540659 g 86.0 1.27 14.0
57072.36431937 g 86.0 1.82 15.0
57073.08669297 g 86.0 1.64 16.0
57074.08385798 g 86.0 1.64 17.0
57074.35267558 g 86.0 1.73 18.0
57075.08173532 g 86.0 1.64 19.0
57075.14904813 g 86.0 1.22 20.0
57075.21750265 g 86.0 1.13 21.0
57075.28641951 g 86.0 1.27 22.0
57075.35490689 g 86.0 1.8 23.0
57077.06650256 r 86.0 1.75 24.0
57077.13381107 g 86.0 1.26 25.0
57077.19545353 g 86.0 1.13 26.0
57078.19890231 g 86.0 1.13 27.0
57080.12518632 g 86.0 1.26 28.0
57080.19366577 g 86.0 1.13 29.0
57095.05776371 i 86.0 1.39 30.0
57095.13658768 r 86.0 1.14 31.0
57095.19342074 g 86.0 1.16 32.0
57089.25124507 r 102.0 1.28 33.0
57090.25135822 g 102.0 1.29 34.0
57090.27955099 i 102.0 1.45 35.0
