MJD FILTER EXPTIME AIRMASS EPOCH
57070.0554793 r 86.0 1.65 1.0
57070.12328137 g 86.0 1.22 2.0
57070.2086049 g 86.0 1.14 3.0
57070.27723913 g 86.0 1.34 4.0
57071.0520832 g 86.0 1.66 5.0
57071.11983472 g 86.0 1.23 6.0
57071.18749992 g 86.0 1.13 7.0
57071.25607098 g 86.0 1.25 8.0
57071.3264044 g 86.0 1.78 9.0
57072.04875996 g 86.0 1.66 10.0
57072.11646168 g 86.0 1.23 11.0
57072.18556992 g 86.0 1.13 12.0
57072.2543334 g 86.0 1.26 13.0
57072.32339772 g 86.0 1.78 14.0
57073.04619506 g 86.0 1.66 15.0
57074.04397524 g 86.0 1.66 16.0
57074.30957349 g 86.0 1.67 17.0
57075.04137862 g 86.0 1.65 18.0
57075.10896095 g 86.0 1.23 19.0
57075.17654961 g 86.0 1.13 20.0
57075.24528924 g 86.0 1.25 21.0
57075.3139272 g 86.0 1.76 22.0
57077.02597653 r 86.0 1.77 23.0
57077.0937226 g 86.0 1.26 24.0
57077.15465061 g 86.0 1.13 25.0
57080.0369742 r 86.0 1.56 26.0
57080.08509477 g 86.0 1.26 27.0
57080.15277697 g 86.0 1.13 28.0
57095.02228203 i 86.0 1.37 29.0
57095.0845838 r 86.0 1.16 30.0
57095.15500347 g 86.0 1.16 31.0
57089.21696902 r 102.0 1.29 32.0
57089.27193141 i 102.0 1.71 33.0
57090.21697496 g 102.0 1.31 34.0
