MJD FILTER EXPTIME AIRMASS EPOCH
57070.04853861 r 86.0 1.66 1.0
57070.11660026 g 86.0 1.23 2.0
57070.20174757 g 86.0 1.14 3.0
57070.27039263 g 86.0 1.33 4.0
57071.04539157 g 86.0 1.66 5.0
57071.11315511 g 86.0 1.23 6.0
57071.24913203 g 86.0 1.25 7.0
57071.31960841 g 86.0 1.78 8.0
57071.18079736 g 86.0 1.13 9.0
57072.04205186 g 86.0 1.67 10.0
57072.10976717 g 86.0 1.23 11.0
57072.1787153 g 86.0 1.13 12.0
57072.24737942 g 86.0 1.26 13.0
57072.31659419 g 86.0 1.77 14.0
57073.03952352 g 86.0 1.66 15.0
57074.03736907 g 86.0 1.66 16.0
57074.30292586 g 86.0 1.67 17.0
57075.03469408 g 86.0 1.66 18.0
57075.10229381 g 86.0 1.23 19.0
57075.16971953 g 86.0 1.13 20.0
57075.23846665 g 86.0 1.25 21.0
57075.30708657 g 86.0 1.76 22.0
57077.01933566 r 86.0 1.78 23.0
57077.08704597 g 86.0 1.26 24.0
57077.1478394 g 86.0 1.13 25.0
57080.03013948 r 86.0 1.57 26.0
57080.07842143 g 86.0 1.26 27.0
57080.14599373 g 86.0 1.13 28.0
57095.01960215 i 86.0 1.35 29.0
57095.07780586 r 86.0 1.16 30.0
57095.15222316 g 86.0 1.17 31.0
57089.2138567 r 102.0 1.31 32.0
57089.26883278 i 102.0 1.75 33.0
57090.21386182 g 102.0 1.32 34.0
