MJD FILTER EXPTIME AIRMASS EPOCH
57070.09863138 r 86.0 1.7 1.0
57070.16608884 g 86.0 1.27 2.0
57070.18360093 g 86.0 1.22 3.0
57070.25212723 g 86.0 1.2 4.0
57070.32096264 g 86.0 1.44 5.0
57070.36798111 g 86.0 1.91 6.0
57071.09515908 g 86.0 1.71 7.0
57071.30117572 g 86.0 1.34 8.0
57071.16261835 g 86.0 1.27 9.0
57071.36997483 g 86.0 1.99 10.0
57072.09193181 g 86.0 1.71 11.0
57072.16055695 g 86.0 1.27 12.0
57072.22905779 g 86.0 1.18 13.0
57072.29818744 g 86.0 1.34 14.0
57072.36698372 g 86.0 1.98 15.0
57073.08935432 g 86.0 1.71 16.0
57074.08648727 g 86.0 1.71 17.0
57074.35536456 g 86.0 1.88 18.0
57074.35666976 r 86.0 1.9 19.0
57075.08440456 g 86.0 1.7 20.0
57075.15170744 g 86.0 1.27 21.0
57075.22029927 g 86.0 1.18 22.0
57075.28906493 g 86.0 1.34 23.0
57075.35767617 g 86.0 1.96 24.0
57077.06919526 r 86.0 1.83 25.0
57077.13645731 g 86.0 1.3 26.0
57077.19809767 g 86.0 1.18 27.0
57078.20028218 g 86.0 1.18 28.0
57080.12785479 g 86.0 1.31 29.0
57080.19644922 g 86.0 1.18 30.0
57095.06104688 i 86.0 1.44 31.0
57095.13796776 r 86.0 1.19 32.0
57095.19622448 g 86.0 1.22 33.0
57089.2528288 r 102.0 1.35 34.0
57090.25292692 g 102.0 1.36 35.0
57090.28117317 i 102.0 1.54 36.0
