MJD FILTER EXPTIME AIRMASS EPOCH
57070.07307778 r 86.0 1.79 1.0
57070.14067593 g 86.0 1.29 2.0
57070.22628636 g 86.0 1.19 3.0
57070.29491661 g 86.0 1.4 4.0
57070.34193099 g 86.0 1.81 5.0
57071.0696431 g 86.0 1.8 6.0
57071.13724451 g 86.0 1.3 7.0
57071.20501524 g 86.0 1.18 8.0
57071.27524252 g 86.0 1.32 9.0
57071.34425428 g 86.0 1.89 10.0
57072.06636968 g 86.0 1.81 11.0
57072.13385377 g 86.0 1.3 12.0
57072.20338963 g 86.0 1.18 13.0
57072.27213422 g 86.0 1.31 14.0
57072.34133052 g 86.0 1.88 15.0
57073.06373916 g 86.0 1.81 16.0
57074.06124085 g 86.0 1.8 17.0
57074.32852712 g 86.0 1.78 18.0
57075.05897595 g 86.0 1.8 19.0
57075.12632839 g 86.0 1.3 20.0
57075.1944674 g 86.0 1.18 21.0
57075.26315291 g 86.0 1.31 22.0
57075.33163812 g 86.0 1.86 23.0
57077.04351528 r 86.0 1.94 24.0
57077.11109591 g 86.0 1.34 25.0
57077.17237446 g 86.0 1.19 26.0
57080.04808348 r 86.0 1.76 27.0
57080.10249855 g 86.0 1.34 28.0
57080.17061738 g 86.0 1.18 29.0
57095.03482429 i 86.0 1.5 30.0
57095.1176146 r 86.0 1.19 31.0
57095.17005107 g 86.0 1.21 32.0
57089.22957458 r 102.0 1.33 33.0
57089.2846468 i 102.0 1.75 34.0
57090.22970449 g 102.0 1.34 35.0
