MJD FILTER EXPTIME AIRMASS EPOCH
57070.07447004 r 86.0 1.7 1.0
57070.14200356 g 86.0 1.26 2.0
57070.22760941 g 86.0 1.17 3.0
57070.29625164 g 86.0 1.38 4.0
57070.3433271 g 86.0 1.79 5.0
57071.07096224 g 86.0 1.71 6.0
57071.27656697 g 86.0 1.29 7.0
57071.2064075 g 86.0 1.16 8.0
57071.34564553 g 86.0 1.86 9.0
57072.06769815 g 86.0 1.72 10.0
57072.13518244 g 86.0 1.26 11.0
57072.20478748 g 86.0 1.16 12.0
57072.27353739 g 86.0 1.29 13.0
57072.34265963 g 86.0 1.86 14.0
57073.0650564 g 86.0 1.72 15.0
57074.06255278 g 86.0 1.72 16.0
57074.3299007 g 86.0 1.76 17.0
57075.06030045 g 86.0 1.71 18.0
57075.12765116 g 86.0 1.26 19.0
57075.19579328 g 86.0 1.16 20.0
57075.26450731 g 86.0 1.29 21.0
57075.33302958 g 86.0 1.84 22.0
57077.0448417 r 86.0 1.84 23.0
57077.11242061 g 86.0 1.29 24.0
57077.17376612 g 86.0 1.16 25.0
57080.10382204 g 86.0 1.3 26.0
57080.17194096 g 86.0 1.16 27.0
57095.0361536 i 86.0 1.44 28.0
57095.11900147 r 86.0 1.16 29.0
57095.17143652 g 86.0 1.18 30.0
57089.23110133 r 102.0 1.31 31.0
57089.28616171 i 102.0 1.72 32.0
57090.23122304 g 102.0 1.32 33.0
