MJD FILTER EXPTIME AIRMASS EPOCH
57070.05268995 r 86.0 1.6 1.0
57070.12061047 g 86.0 1.19 2.0
57070.20582818 g 86.0 1.1 3.0
57070.27447749 g 86.0 1.27 4.0
57071.04942484 g 86.0 1.6 5.0
57071.11717301 g 86.0 1.19 6.0
57071.18485106 g 86.0 1.09 7.0
57071.25328132 g 86.0 1.2 8.0
57071.32373597 g 86.0 1.65 9.0
57072.04609205 g 86.0 1.61 10.0
57072.11379493 g 86.0 1.19 11.0
57072.18279476 g 86.0 1.09 12.0
57072.25154132 g 86.0 1.2 13.0
57072.3207276 g 86.0 1.65 14.0
57073.04354033 g 86.0 1.61 15.0
57074.04134036 g 86.0 1.6 16.0
57074.3069086 g 86.0 1.56 17.0
57075.03871347 g 86.0 1.6 18.0
57075.10631299 g 86.0 1.19 19.0
57075.17384548 g 86.0 1.09 20.0
57075.24261489 g 86.0 1.2 21.0
57075.31116029 g 86.0 1.64 22.0
57077.02333752 r 86.0 1.71 23.0
57077.09106922 g 86.0 1.22 24.0
57077.15197863 g 86.0 1.1 25.0
57080.03430245 r 86.0 1.51 26.0
57080.08243293 g 86.0 1.23 27.0
57080.15011769 g 86.0 1.09 28.0
57095.08193014 r 86.0 1.12 29.0
