MJD FILTER EXPTIME AIRMASS EPOCH
57070.06771855 r 86.0 1.58 1.0
57070.13532061 g 86.0 1.19 2.0
57070.22077074 g 86.0 1.12 3.0
57070.28953894 g 86.0 1.32 4.0
57070.33653142 g 86.0 1.7 5.0
57071.06419986 g 86.0 1.59 6.0
57071.13187187 g 86.0 1.2 7.0
57071.19960694 g 86.0 1.11 8.0
57071.2697431 g 86.0 1.24 9.0
57071.33881191 g 86.0 1.77 10.0
57072.06093729 g 86.0 1.59 11.0
57072.12848225 g 86.0 1.2 12.0
57072.19786047 g 86.0 1.11 13.0
57072.26659705 g 86.0 1.24 14.0
57072.33580619 g 86.0 1.76 15.0
57073.05829437 g 86.0 1.59 16.0
57074.05592843 g 86.0 1.59 17.0
57074.32299447 g 86.0 1.67 18.0
57075.12096983 g 86.0 1.2 20.0
57075.18892758 g 86.0 1.11 21.0
57075.25759563 g 86.0 1.24 22.0
57075.32623609 g 86.0 1.75 23.0
57077.03813287 r 86.0 1.69 24.0
57077.10574176 g 86.0 1.23 25.0
57077.16696878 g 86.0 1.11 26.0
57080.04517222 r 86.0 1.54 27.0
57080.09714284 g 86.0 1.23 28.0
57080.16510004 g 86.0 1.11 29.0
57095.0307228 i 86.0 1.35 30.0
57095.11464593 r 86.0 1.11 31.0
57095.16463323 g 86.0 1.14 32.0
57089.22636286 r 102.0 1.27 33.0
57089.2813044 i 102.0 1.66 34.0
57090.22642868 g 102.0 1.28 35.0
