MJD FILTER EXPTIME AIRMASS EPOCH
57070.10271002 r 86.0 1.63 1.0
57070.18762399 g 86.0 1.18 2.0
57070.25617412 g 86.0 1.15 3.0
57070.32515849 g 86.0 1.36 4.0
57070.37203054 g 86.0 1.76 5.0
57071.09923654 g 86.0 1.64 6.0
57071.23499514 g 86.0 1.13 7.0
57071.30536681 g 86.0 1.27 8.0
57071.16663105 g 86.0 1.22 9.0
57071.37397121 g 86.0 1.82 10.0
57072.09595071 g 86.0 1.64 11.0
57072.16457326 g 86.0 1.22 12.0
57072.23325857 g 86.0 1.13 13.0
57072.30224043 g 86.0 1.27 14.0
57072.37110661 g 86.0 1.82 15.0
57073.09335797 g 86.0 1.64 16.0
57074.09045487 g 86.0 1.64 17.0
57074.36069079 g 86.0 1.76 18.0
57075.08841393 g 86.0 1.63 19.0
57075.1557137 g 86.0 1.22 20.0
57075.22432752 g 86.0 1.13 21.0
57075.29308633 g 86.0 1.27 22.0
57075.36170001 g 86.0 1.81 23.0
57077.07320499 r 86.0 1.75 24.0
57077.20208105 g 86.0 1.13 25.0
57080.13189461 g 86.0 1.26 26.0
57080.20046165 g 86.0 1.13 27.0
57095.20023503 g 86.0 1.16 29.0
