MJD FILTER EXPTIME AIRMASS EPOCH
57070.08930063 r 86.0 1.63 1.0
57070.15671115 g 86.0 1.22 2.0
57070.24261749 g 86.0 1.15 3.0
57070.31138914 g 86.0 1.35 4.0
57070.35837868 g 86.0 1.76 5.0
57071.08578099 g 86.0 1.64 6.0
57071.15325072 g 86.0 1.22 7.0
57071.29158034 g 86.0 1.27 8.0
57071.22142373 g 86.0 1.13 9.0
57071.36055146 g 86.0 1.82 10.0
57072.08254454 g 86.0 1.64 11.0
57072.14988079 g 86.0 1.22 12.0
57072.21964234 g 86.0 1.13 13.0
57072.28855021 g 86.0 1.27 14.0
57072.35764031 g 86.0 1.82 15.0
57073.0798614 g 86.0 1.64 16.0
57074.07721325 g 86.0 1.64 17.0
57074.34468572 g 86.0 1.72 18.0
57075.07504596 g 86.0 1.63 19.0
57075.14234074 g 86.0 1.22 20.0
57075.21068373 g 86.0 1.13 21.0
57075.27956385 g 86.0 1.27 22.0
57075.34816806 g 86.0 1.8 23.0
57077.0597283 r 86.0 1.75 24.0
57077.12711375 g 86.0 1.26 25.0
57077.18869847 g 86.0 1.13 26.0
57078.19344008 g 86.0 1.13 27.0
57080.05766695 r 86.0 1.67 28.0
57080.11849533 g 86.0 1.26 29.0
57080.18684416 g 86.0 1.13 30.0
57095.05102762 i 86.0 1.39 31.0
57095.12987065 r 86.0 1.14 32.0
57095.18648335 g 86.0 1.16 33.0
57089.24355004 r 102.0 1.28 34.0
57090.24367546 g 102.0 1.29 35.0
57090.27169432 i 102.0 1.45 36.0
