MJD FILTER EXPTIME AIRMASS EPOCH
57070.06639256 r 86.0 1.59 1.0
57070.13399296 g 86.0 1.19 2.0
57070.21945107 g 86.0 1.1 3.0
57070.28820804 g 86.0 1.27 4.0
57070.33519812 g 86.0 1.61 5.0
57071.06286375 g 86.0 1.59 6.0
57071.1305487 g 86.0 1.19 7.0
57071.26841393 g 86.0 1.21 8.0
57071.19827683 g 86.0 1.09 9.0
57071.33742175 g 86.0 1.66 10.0
57072.05952603 g 86.0 1.6 11.0
57072.12716331 g 86.0 1.19 12.0
57072.19654119 g 86.0 1.09 13.0
57072.2652032 g 86.0 1.2 14.0
57072.33441243 g 86.0 1.66 15.0
57073.05696348 g 86.0 1.6 16.0
57074.05461892 g 86.0 1.59 17.0
57074.32168729 g 86.0 1.58 18.0
57075.0522554 g 86.0 1.59 19.0
57075.11963683 g 86.0 1.19 20.0
57075.18753379 g 86.0 1.09 21.0
57075.25626162 g 86.0 1.2 22.0
57075.32489659 g 86.0 1.65 23.0
57077.03673128 r 86.0 1.7 24.0
57077.1044268 g 86.0 1.22 25.0
57077.1656386 g 86.0 1.1 26.0
57080.04385804 r 86.0 1.54 27.0
57080.09580328 g 86.0 1.22 28.0
57080.16369962 g 86.0 1.09 29.0
57095.0293991 i 86.0 1.34 30.0
57095.1133133 r 86.0 1.1 31.0
57095.16330806 g 86.0 1.11 32.0
57089.22485149 r 102.0 1.23 33.0
57089.27978518 i 102.0 1.57 34.0
57090.22492096 g 102.0 1.24 35.0
