MJD FILTER EXPTIME AIRMASS EPOCH
57070.10004062 r 86.0 1.76 1.0
57070.18496342 g 86.0 1.23 2.0
57070.25348198 g 86.0 1.19 3.0
57070.32237549 g 86.0 1.4 4.0
57070.36934033 g 86.0 1.84 5.0
57071.09657636 g 86.0 1.77 6.0
57071.16396998 g 86.0 1.29 7.0
57071.23229328 g 86.0 1.18 8.0
57071.30258732 g 86.0 1.32 9.0
57071.37132986 g 86.0 1.91 10.0
57072.09329355 g 86.0 1.77 11.0
57072.16191996 g 86.0 1.28 12.0
57072.23048203 g 86.0 1.18 13.0
57072.29955055 g 86.0 1.32 14.0
57072.36833921 g 86.0 1.9 15.0
57073.0907063 g 86.0 1.77 16.0
57074.08783032 g 86.0 1.77 17.0
57074.35801237 g 86.0 1.83 18.0
57075.08576217 g 86.0 1.76 19.0
57075.15305664 g 86.0 1.29 20.0
57075.22166335 g 86.0 1.18 21.0
57075.29042279 g 86.0 1.31 22.0
57075.35904388 g 86.0 1.89 23.0
57077.07055835 r 86.0 1.9 24.0
57077.19944733 g 86.0 1.18 25.0
57080.12921439 g 86.0 1.33 26.0
57080.19780987 g 86.0 1.18 27.0
57095.06239923 i 86.0 1.47 28.0
57095.13933079 r 86.0 1.19 29.0
57095.19756978 g 86.0 1.21 30.0
57089.25436222 r 102.0 1.32 31.0
57090.25446099 g 102.0 1.34 32.0
57090.28272731 i 102.0 1.5 33.0
