MJD FILTER EXPTIME AIRMASS EPOCH
57070.08118609 r 86.0 1.58 1.0
57070.14869796 g 86.0 1.19 2.0
57070.23441389 g 86.0 1.13 3.0
57070.303052 g 86.0 1.33 4.0
57070.35019608 g 86.0 1.72 5.0
57071.07770064 g 86.0 1.58 6.0
57071.14525241 g 86.0 1.2 7.0
57071.28339951 g 86.0 1.25 8.0
57071.21323304 g 86.0 1.11 9.0
57071.35241862 g 86.0 1.79 10.0
57072.07451142 g 86.0 1.59 11.0
57072.14187443 g 86.0 1.2 12.0
57072.21164397 g 86.0 1.11 13.0
57072.28039333 g 86.0 1.25 14.0
57072.34945903 g 86.0 1.78 15.0
57073.0718338 g 86.0 1.59 16.0
57074.06914378 g 86.0 1.59 17.0
57074.33650494 g 86.0 1.69 18.0
57075.06697317 g 86.0 1.58 19.0
57075.13433843 g 86.0 1.2 20.0
57075.20249921 g 86.0 1.11 21.0
57075.27137443 g 86.0 1.25 22.0
57075.33997094 g 86.0 1.77 23.0
57077.0516579 r 86.0 1.69 24.0
57077.11911864 g 86.0 1.23 25.0
57077.18061447 g 86.0 1.11 26.0
57080.11049166 g 86.0 1.23 27.0
57080.17864693 g 86.0 1.11 28.0
57095.17829372 g 86.0 1.14 30.0
