wavelength  B V R I atm
432.000 0.767 0.000 0.000 0.000 0.561
433.000 0.769 0.000 0.000 0.000 0.562
434.000 0.771 0.000 0.000 0.000 0.564
435.000 0.773 0.000 0.000 0.000 0.565
436.000 0.775 0.000 0.000 0.000 0.566
437.000 0.777 0.000 0.000 0.000 0.568
438.000 0.779 0.000 0.000 0.000 0.569
439.000 0.781 0.000 0.000 0.000 0.571
440.000 0.782 0.000 0.000 0.000 0.572
441.000 0.781 0.000 0.000 0.000 0.573
442.000 0.779 0.000 0.000 0.000 0.574
443.000 0.777 0.000 0.000 0.000 0.576
444.000 0.776 0.000 0.000 0.000 0.577
445.000 0.774 0.000 0.000 0.000 0.578
446.000 0.772 0.000 0.000 0.000 0.579
447.000 0.771 0.000 0.000 0.000 0.581
448.000 0.769 0.000 0.000 0.000 0.582
449.000 0.767 0.000 0.000 0.000 0.583
450.000 0.766 0.000 0.000 0.000 0.585
451.000 0.766 0.000 0.000 0.000 0.586
452.000 0.766 0.000 0.000 0.000 0.587
453.000 0.766 0.000 0.000 0.000 0.588
454.000 0.766 0.000 0.000 0.000 0.590
455.000 0.766 0.000 0.000 0.000 0.591
456.000 0.766 0.000 0.000 0.000 0.592
457.000 0.766 0.000 0.000 0.000 0.593
458.000 0.766 0.000 0.000 0.000 0.594
459.000 0.766 0.000 0.000 0.000 0.595
460.000 0.767 0.000 0.000 0.000 0.596
461.000 0.765 0.000 0.000 0.000 0.597
462.000 0.764 0.000 0.000 0.000 0.598
463.000 0.762 0.000 0.000 0.000 0.599
464.000 0.761 0.000 0.000 0.000 0.600
465.000 0.759 0.000 0.000 0.000 0.601
466.000 0.758 0.000 0.000 0.000 0.602
467.000 0.756 0.000 0.000 0.000 0.604
468.000 0.755 0.000 0.000 0.000 0.605
469.000 0.753 0.000 0.000 0.000 0.605
470.000 0.752 0.000 0.000 0.000 0.606
471.000 0.751 0.000 0.000 0.000 0.607
472.000 0.750 0.000 0.000 0.000 0.608
473.000 0.749 0.000 0.000 0.000 0.608
474.000 0.748 0.000 0.000 0.000 0.608
475.000 0.747 0.000 0.000 0.000 0.609
476.000 0.746 0.000 0.000 0.000 0.609
477.000 0.745 0.000 0.000 0.000 0.609
478.000 0.744 0.000 0.000 0.000 0.610
479.000 0.743 0.000 0.000 0.000 0.611
480.000 0.742 0.000 0.000 0.000 0.613
481.000 0.740 0.000 0.000 0.000 0.614
482.000 0.737 0.000 0.000 0.000 0.615
483.000 0.735 0.000 0.000 0.000 0.616
484.000 0.732 0.000 0.000 0.000 0.618
485.000 0.730 0.000 0.000 0.000 0.618
486.000 0.728 0.000 0.000 0.000 0.619
487.000 0.725 0.000 0.000 0.000 0.620
488.000 0.723 0.000 0.000 0.000 0.621
489.000 0.721 0.000 0.000 0.000 0.622
490.000 0.718 0.000 0.000 0.000 0.623
491.000 0.661 0.001 0.000 0.000 0.624
492.000 0.603 0.002 0.000 0.000 0.625
493.000 0.545 0.002 0.000 0.000 0.625
494.000 0.487 0.003 0.000 0.000 0.626
495.000 0.429 0.003 0.000 0.000 0.627
496.000 0.371 0.004 0.000 0.000 0.627
497.000 0.313 0.004 0.000 0.000 0.628
498.000 0.256 0.005 0.000 0.000 0.628
499.000 0.198 0.005 0.000 0.000 0.628
500.000 0.140 0.006 0.000 0.000 0.629
501.000 0.126 0.018 0.000 0.000 0.629
502.000 0.113 0.029 0.000 0.000 0.629
503.000 0.099 0.041 0.000 0.000 0.630
504.000 0.086 0.052 0.000 0.000 0.630
505.000 0.072 0.064 0.000 0.000 0.630
506.000 0.059 0.076 0.000 0.000 0.631
507.000 0.045 0.087 0.000 0.000 0.632
508.000 0.032 0.099 0.000 0.000 0.632
509.000 0.018 0.111 0.000 0.000 0.633
510.000 0.005 0.122 0.000 0.000 0.634
511.000 0.004 0.182 0.000 0.000 0.635
512.000 0.004 0.241 0.000 0.000 0.635
513.000 0.004 0.300 0.000 0.000 0.636
514.000 0.003 0.360 0.000 0.000 0.636
515.000 0.003 0.419 0.000 0.000 0.637
516.000 0.002 0.479 0.000 0.000 0.638
517.000 0.002 0.538 0.000 0.000 0.638
518.000 0.001 0.598 0.000 0.000 0.638
519.000 0.001 0.657 0.000 0.000 0.638
520.000 0.000 0.716 0.000 0.000 0.639
521.000 0.000 0.717 0.000 0.000 0.639
522.000 0.000 0.717 0.000 0.000 0.639
523.000 0.000 0.718 0.000 0.000 0.640
524.000 0.000 0.718 0.000 0.000 0.640
525.000 0.000 0.719 0.000 0.000 0.640
526.000 0.000 0.719 0.000 0.000 0.640
527.000 0.000 0.719 0.000 0.000 0.640
528.000 0.000 0.720 0.000 0.000 0.640
529.000 0.000 0.720 0.000 0.000 0.640
530.000 0.000 0.721 0.000 0.000 0.640
531.000 0.000 0.722 0.000 0.000 0.640
532.000 0.000 0.724 0.000 0.000 0.641
533.000 0.000 0.725 0.000 0.000 0.641
534.000 0.000 0.726 0.000 0.000 0.641
535.000 0.000 0.728 0.000 0.000 0.642
536.000 0.000 0.729 0.000 0.000 0.642
537.000 0.000 0.730 0.000 0.000 0.643
538.000 0.000 0.732 0.000 0.000 0.643
539.000 0.000 0.733 0.000 0.000 0.644
540.000 0.000 0.734 0.000 0.000 0.644
541.000 0.000 0.735 0.000 0.000 0.644
542.000 0.000 0.735 0.000 0.000 0.645
543.000 0.000 0.735 0.000 0.000 0.645
544.000 0.000 0.736 0.000 0.000 0.645
545.000 0.000 0.736 0.000 0.000 0.646
546.000 0.000 0.736 0.000 0.000 0.646
547.000 0.000 0.736 0.000 0.000 0.646
548.000 0.000 0.737 0.000 0.000 0.646
549.000 0.000 0.737 0.000 0.000 0.646
550.000 0.000 0.737 0.000 0.000 0.647
551.000 0.000 0.738 0.000 0.000 0.647
552.000 0.000 0.738 0.001 0.000 0.647
553.000 0.000 0.738 0.001 0.000 0.647
554.000 0.000 0.739 0.001 0.000 0.647
555.000 0.000 0.739 0.001 0.000 0.647
556.000 0.000 0.739 0.001 0.000 0.647
557.000 0.000 0.739 0.001 0.000 0.647
558.000 0.000 0.740 0.001 0.000 0.647
559.000 0.000 0.740 0.002 0.000 0.647
560.000 0.000 0.740 0.002 0.000 0.646
561.000 0.000 0.740 0.005 0.000 0.646
562.000 0.000 0.739 0.009 0.000 0.646
563.000 0.000 0.738 0.013 0.000 0.646
564.000 0.000 0.737 0.016 0.000 0.646
565.000 0.000 0.737 0.020 0.000 0.645
566.000 0.000 0.736 0.024 0.000 0.645
567.000 0.000 0.735 0.027 0.000 0.645
568.000 0.000 0.734 0.031 0.000 0.643
569.000 0.000 0.734 0.034 0.000 0.640
570.000 0.000 0.733 0.038 0.000 0.640
571.000 0.000 0.734 0.078 0.000 0.642
572.000 0.000 0.736 0.118 0.000 0.639
573.000 0.000 0.738 0.159 0.000 0.640
574.000 0.000 0.739 0.199 0.000 0.640
575.000 0.000 0.741 0.239 0.000 0.639
576.000 0.000 0.743 0.280 0.000 0.640
577.000 0.000 0.744 0.320 0.000 0.641
578.000 0.000 0.746 0.361 0.000 0.642
579.000 0.000 0.747 0.402 0.000 0.643
580.000 0.000 0.749 0.443 0.000 0.645
581.000 0.000 0.743 0.473 0.000 0.647
582.000 0.000 0.737 0.503 0.000 0.649
583.000 0.000 0.731 0.533 0.000 0.650
584.000 0.000 0.725 0.563 0.000 0.651
585.000 0.000 0.719 0.593 0.000 0.652
586.000 0.000 0.713 0.623 0.000 0.653
587.000 0.000 0.707 0.653 0.000 0.652
588.000 0.000 0.701 0.683 0.000 0.649
589.000 0.000 0.695 0.713 0.000 0.643
590.000 0.000 0.689 0.743 0.000 0.643
591.000 0.000 0.633 0.745 0.000 0.648
592.000 0.000 0.578 0.746 0.000 0.646
593.000 0.000 0.522 0.747 0.000 0.651
594.000 0.000 0.466 0.749 0.000 0.650
595.000 0.000 0.411 0.750 0.000 0.647
596.000 0.000 0.355 0.752 0.000 0.652
597.000 0.000 0.299 0.753 0.000 0.650
598.000 0.000 0.244 0.754 0.000 0.652
599.000 0.000 0.188 0.756 0.000 0.653
600.000 0.000 0.132 0.757 0.000 0.654
601.000 0.000 0.120 0.756 0.000 0.655
602.000 0.000 0.107 0.755 0.000 0.655
603.000 0.000 0.094 0.753 0.000 0.656
604.000 0.000 0.082 0.752 0.000 0.657
605.000 0.000 0.069 0.750 0.000 0.658
606.000 0.000 0.057 0.749 0.000 0.658
607.000 0.000 0.044 0.748 0.000 0.659
608.000 0.000 0.032 0.746 0.000 0.660
609.000 0.000 0.019 0.745 0.000 0.660
610.000 0.000 0.006 0.744 0.000 0.661
611.000 0.000 0.006 0.746 0.000 0.662
612.000 0.000 0.005 0.749 0.000 0.662
613.000 0.000 0.005 0.751 0.000 0.663
614.000 0.000 0.004 0.754 0.000 0.664
615.000 0.000 0.004 0.757 0.000 0.664
616.000 0.000 0.003 0.759 0.000 0.665
617.000 0.000 0.002 0.762 0.000 0.665
618.000 0.000 0.002 0.765 0.000 0.666
619.000 0.000 0.001 0.767 0.000 0.666
620.000 0.000 0.001 0.770 0.000 0.667
621.000 0.000 0.001 0.769 0.000 0.667
622.000 0.000 0.000 0.769 0.000 0.667
623.000 0.000 0.000 0.768 0.000 0.668
