wavelength  B V R I atm
880.000 0.000 0.000 0.000 0.328 0.741
881.000 0.000 0.000 0.000 0.304 0.741
882.000 0.000 0.000 0.000 0.280 0.741
883.000 0.000 0.000 0.000 0.257 0.741
884.000 0.000 0.000 0.000 0.233 0.741
885.000 0.000 0.000 0.000 0.210 0.740
886.000 0.000 0.000 0.000 0.188 0.739
887.000 0.000 0.000 0.000 0.165 0.740
888.000 0.000 0.000 0.000 0.143 0.740
889.000 0.000 0.000 0.000 0.121 0.741
890.000 0.000 0.000 0.000 0.099 0.740
891.000 0.000 0.000 0.000 0.090 0.739
892.000 0.000 0.000 0.000 0.081 0.736
893.000 0.000 0.000 0.000 0.072 0.729
894.000 0.000 0.000 0.000 0.064 0.725
895.000 0.000 0.000 0.000 0.055 0.713
896.000 0.000 0.000 0.000 0.047 0.702
897.000 0.000 0.000 0.000 0.038 0.690
898.000 0.000 0.000 0.000 0.030 0.685
899.000 0.000 0.000 0.000 0.022 0.669
900.000 0.000 0.000 0.000 0.014 0.672
901.000 0.000 0.000 0.000 0.013 0.668
902.000 0.000 0.000 0.000 0.012 0.668
903.000 0.000 0.000 0.000 0.011 0.695
904.000 0.000 0.000 0.000 0.009 0.711
905.000 0.000 0.000 0.000 0.008 0.710
906.000 0.000 0.000 0.000 0.007 0.700
907.000 0.000 0.000 0.000 0.006 0.683
908.000 0.000 0.000 0.000 0.005 0.671
909.000 0.000 0.000 0.000 0.004 0.671
910.000 0.000 0.000 0.000 0.003 0.673
911.000 0.000 0.000 0.000 0.002 0.681
912.000 0.000 0.000 0.000 0.002 0.677
913.000 0.000 0.000 0.000 0.002 0.661
914.000 0.000 0.000 0.000 0.002 0.669
915.000 0.000 0.000 0.000 0.001 0.676
916.000 0.000 0.000 0.000 0.001 0.677
917.000 0.000 0.000 0.000 0.001 0.681
918.000 0.000 0.000 0.000 0.001 0.685
919.000 0.000 0.000 0.000 0.001 0.700
920.000 0.000 0.000 0.000 0.001 0.712
921.000 0.000 0.000 0.000 0.001 0.709
922.000 0.000 0.000 0.000 0.000 0.709
923.000 0.000 0.000 0.000 0.000 0.706
924.000 0.000 0.000 0.000 0.000 0.698
925.000 0.000 0.000 0.000 0.000 0.698
926.000 0.000 0.000 0.000 0.000 0.698
927.000 0.000 0.000 0.000 0.000 0.689
928.000 0.000 0.000 0.000 0.000 0.676
929.000 0.000 0.000 0.000 0.000 0.656
930.000 0.000 0.000 0.000 0.000 0.629
931.000 0.000 0.000 0.000 0.000 0.599
932.000 0.000 0.000 0.000 0.000 0.558
933.000 0.000 0.000 0.000 0.000 0.525
934.000 0.000 0.000 0.000 0.000 0.489
935.000 0.000 0.000 0.000 0.000 0.485
936.000 0.000 0.000 0.000 0.000 0.500
937.000 0.000 0.000 0.000 0.000 0.496
938.000 0.000 0.000 0.000 0.000 0.536
939.000 0.000 0.000 0.000 0.000 0.629
940.000 0.000 0.000 0.000 0.000 0.642
941.000 0.000 0.000 0.000 0.000 0.631
942.000 0.000 0.000 0.000 0.000 0.603
943.000 0.000 0.000 0.000 0.000 0.553
944.000 0.000 0.000 0.000 0.000 0.549
945.000 0.000 0.000 0.000 0.000 0.568
946.000 0.000 0.000 0.000 0.000 0.569
947.000 0.000 0.000 0.000 0.000 0.585
948.000 0.000 0.000 0.000 0.000 0.594
949.000 0.000 0.000 0.000 0.000 0.592
950.000 0.000 0.000 0.000 0.000 0.595
951.000 0.000 0.000 0.000 0.000 0.615
952.000 0.000 0.000 0.000 0.000 0.593
953.000 0.000 0.000 0.000 0.000 0.608
954.000 0.000 0.000 0.000 0.000 0.624
955.000 0.000 0.000 0.000 0.000 0.610
956.000 0.000 0.000 0.000 0.000 0.607
957.000 0.000 0.000 0.000 0.000 0.647
958.000 0.000 0.000 0.000 0.000 0.651
959.000 0.000 0.000 0.000 0.000 0.645
960.000 0.000 0.000 0.000 0.000 0.643
961.000 0.000 0.000 0.000 0.000 0.639
962.000 0.000 0.000 0.000 0.000 0.642
963.000 0.000 0.000 0.000 0.000 0.663
964.000 0.000 0.000 0.000 0.000 0.666
965.000 0.000 0.000 0.000 0.000 0.664
966.000 0.000 0.000 0.000 0.000 0.665
967.000 0.000 0.000 0.000 0.000 0.680
968.000 0.000 0.000 0.000 0.000 0.704
969.000 0.000 0.000 0.000 0.000 0.714
970.000 0.000 0.000 0.000 0.000 0.715
971.000 0.000 0.000 0.000 0.000 0.715
972.000 0.000 0.000 0.000 0.000 0.712
973.000 0.000 0.000 0.000 0.000 0.705
974.000 0.000 0.000 0.000 0.000 0.696
975.000 0.000 0.000 0.000 0.000 0.691
976.000 0.000 0.000 0.000 0.000 0.698
977.000 0.000 0.000 0.000 0.000 0.709
978.000 0.000 0.000 0.000 0.000 0.708
979.000 0.000 0.000 0.000 0.000 0.711
980.000 0.000 0.000 0.000 0.000 0.722
981.000 0.000 0.000 0.000 0.000 0.724
982.000 0.000 0.000 0.000 0.000 0.722
983.000 0.000 0.000 0.000 0.000 0.727
984.000 0.000 0.000 0.000 0.000 0.733
985.000 0.000 0.000 0.000 0.000 0.736
986.000 0.000 0.000 0.000 0.000 0.741
987.000 0.000 0.000 0.000 0.000 0.742
988.000 0.000 0.000 0.000 0.000 0.743
989.000 0.000 0.000 0.000 0.000 0.743
990.000 0.000 0.000 0.000 0.000 0.744
991.000 0.000 0.000 0.000 0.000 0.745
992.000 0.000 0.000 0.000 0.000 0.746
993.000 0.000 0.000 0.000 0.000 0.746
994.000 0.000 0.000 0.000 0.000 0.747
995.000 0.000 0.000 0.000 0.000 0.748
996.000 0.000 0.000 0.000 0.000 0.748
997.000 0.000 0.000 0.000 0.000 0.748
998.000 0.000 0.000 0.000 0.000 0.747
999.000 0.000 0.000 0.000 0.000 0.747
1000.000 0.000 0.000 0.000 0.000 0.747
1001.000 0.000 0.000 0.000 0.000 0.746
1002.000 0.000 0.000 0.000 0.000 0.743
1003.000 0.000 0.000 0.000 0.000 0.744
1004.000 0.000 0.000 0.000 0.000 0.745
1005.000 0.000 0.000 0.000 0.000 0.746
1006.000 0.000 0.000 0.000 0.000 0.746
1007.000 0.000 0.000 0.000 0.000 0.746
1008.000 0.000 0.000 0.000 0.000 0.744
1009.000 0.000 0.000 0.000 0.000 0.741
1010.000 0.000 0.000 0.000 0.000 0.742
1011.000 0.000 0.000 0.000 0.000 0.745
1012.000 0.000 0.000 0.000 0.000 0.746
1013.000 0.000 0.000 0.000 0.000 0.747
1014.000 0.000 0.000 0.000 0.000 0.747
1015.000 0.000 0.000 0.000 0.000 0.748
1016.000 0.000 0.000 0.000 0.000 0.748
1017.000 0.000 0.000 0.000 0.000 0.748
1018.000 0.000 0.000 0.000 0.000 0.748
1019.000 0.000 0.000 0.000 0.000 0.747
1020.000 0.000 0.000 0.000 0.000 0.747
1021.000 0.000 0.000 0.000 0.000 0.748
1022.000 0.000 0.000 0.000 0.000 0.747
1023.000 0.000 0.000 0.000 0.000 0.746
1024.000 0.000 0.000 0.000 0.000 0.745
1025.000 0.000 0.000 0.000 0.000 0.747
1026.000 0.000 0.000 0.000 0.000 0.748
1027.000 0.000 0.000 0.000 0.000 0.748
1028.000 0.000 0.000 0.000 0.000 0.748
1029.000 0.000 0.000 0.000 0.000 0.749
1030.000 0.000 0.000 0.000 0.000 0.749
1031.000 0.000 0.000 0.000 0.000 0.750
1032.000 0.000 0.000 0.000 0.000 0.750
1033.000 0.000 0.000 0.000 0.000 0.750
1034.000 0.000 0.000 0.000 0.000 0.750
1035.000 0.000 0.000 0.000 0.000 0.750
1036.000 0.000 0.000 0.000 0.000 0.750
1037.000 0.000 0.000 0.000 0.000 0.750
1038.000 0.000 0.000 0.000 0.000 0.750
1039.000 0.000 0.000 0.000 0.000 0.750
1040.000 0.000 0.000 0.000 0.000 0.750
1041.000 0.000 0.000 0.000 0.000 0.750
1042.000 0.000 0.000 0.000 0.000 0.750
1043.000 0.000 0.000 0.000 0.000 0.750
1044.000 0.000 0.000 0.000 0.000 0.750
1045.000 0.000 0.000 0.000 0.000 0.749
1046.000 0.000 0.000 0.000 0.000 0.749
1047.000 0.000 0.000 0.000 0.000 0.749
1048.000 0.000 0.000 0.000 0.000 0.748
1049.000 0.000 0.000 0.000 0.000 0.748
1050.000 0.000 0.000 0.000 0.000 0.748
1051.000 0.000 0.000 0.000 0.000 0.747
1052.000 0.000 0.000 0.000 0.000 0.747
1053.000 0.000 0.000 0.000 0.000 0.747
1054.000 0.000 0.000 0.000 0.000 0.746
1055.000 0.000 0.000 0.000 0.000 0.746
1056.000 0.000 0.000 0.000 0.000 0.745
1057.000 0.000 0.000 0.000 0.000 0.745
1058.000 0.000 0.000 0.000 0.000 0.743
1059.000 0.000 0.000 0.000 0.000 0.743
1060.000 0.000 0.000 0.000 0.000 0.744
1061.000 0.000 0.000 0.000 0.000 0.743
1062.000 0.000 0.000 0.000 0.000 0.742
1063.000 0.000 0.000 0.000 0.000 0.742
1064.000 0.000 0.000 0.000 0.000 0.741
1065.000 0.000 0.000 0.000 0.000 0.740
1066.000 0.000 0.000 0.000 0.000 0.740
1067.000 0.000 0.000 0.000 0.000 0.740
1068.000 0.000 0.000 0.000 0.000 0.738
1069.000 0.000 0.000 0.000 0.000 0.738
1070.000 0.000 0.000 0.000 0.000 0.739
1071.000 0.000 0.000 0.000 0.000 0.738
1072.000 0.000 0.000 0.000 0.000 0.738
1073.000 0.000 0.000 0.000 0.000 0.738
1074.000 0.000 0.000 0.000 0.000 0.738
1075.000 0.000 0.000 0.000 0.000 0.740
1076.000 0.000 0.000 0.000 0.000 0.739
1077.000 0.000 0.000 0.000 0.000 0.738
1078.000 0.000 0.000 0.000 0.000 0.737
1079.000 0.000 0.000 0.000 0.000 0.737
1080.000 0.000 0.000 0.000 0.000 0.733
1081.000 0.000 0.000 0.000 0.000 0.733
1082.000 0.000 0.000 0.000 0.000 0.735
1083.000 0.000 0.000 0.000 0.000 0.733
1084.000 0.000 0.000 0.000 0.000 0.731
1085.000 0.000 0.000 0.000 0.000 0.726
1086.000 0.000 0.000 0.000 0.000 0.727
1087.000 0.000 0.000 0.000 0.000 0.733
1088.000 0.000 0.000 0.000 0.000 0.734
1089.000 0.000 0.000 0.000 0.000 0.727
1090.000 0.000 0.000 0.000 0.000 0.725
1091.000 0.000 0.000 0.000 0.000 0.727
1092.000 0.000 0.000 0.000 0.000 0.723
1093.000 0.000 0.000 0.000 0.000 0.715
1094.000 0.000 0.000 0.000 0.000 0.712
1095.000 0.000 0.000 0.000 0.000 0.713
1096.000 0.000 0.000 0.000 0.000 0.713
1097.000 0.000 0.000 0.000 0.000 0.712
1098.000 0.000 0.000 0.000 0.000 0.692
1099.000 0.000 0.000 0.000 0.000 0.674
1100.000 0.000 0.000 0.000 0.000 0.675
