wavelength UVW2 UVM2 UVW1 U B V
263.0 3.1137900000000003 3.58766 21.935 0.0 0.0 0.0
264.0 3.08224 3.23494 21.815 0.0 0.0 0.0
265.0 3.05068 2.92253 21.628 0.0 0.0 0.0
266.0 3.01716 2.63028 21.412 0.0 0.0 0.0
267.0 2.9836400000000003 2.36826 21.177 0.0 0.0 0.0
268.0 2.94814 2.14655 20.981 0.0 0.0 0.0
269.0 2.91264 1.93492 20.728 0.0 0.0 0.0
270.0 2.87518 1.74344 20.476 0.0 0.0 0.0
271.0 2.83672 1.5620399999999999 20.214 0.0 0.0 0.0
272.0 2.79827 1.41088 19.944 0.0 0.0 0.0
273.0 2.7578400000000003 1.27987 19.665 0.0 0.0 0.0
274.0 2.71643 1.14886 19.377 0.0 0.0 0.0
275.0 2.67403 1.038 19.004 0.0 0.0 0.0
276.0 2.62868 0.937226 18.603 0.0 0.0 0.0
277.0 2.58332 0.844511 18.241 0.0 0.0 0.0
278.0 2.53796 0.764897 17.852 0.0 0.0 0.0
279.0 2.48965 0.690322 17.445 0.0 0.0 0.0
280.0 2.43838 0.628848 17.049 0.0 0.0 0.0
281.0 2.38809 0.5683819999999999 16.634 0.0 0.0 0.0
282.0 2.33583 0.519001 16.212 0.0 0.0 0.0
283.0 2.27963 0.470629 15.79 0.0 0.0 0.0
284.0 2.22343 0.42729399999999995 15.351 0.0 0.0 0.0
285.0 2.1682099999999997 0.391015 14.923 0.0 0.0 0.0
286.0 2.11004 0.360782 14.486 0.0 0.0 0.0
287.0 2.05187 0.330549 14.051 0.0 0.0 0.0
288.0 1.99468 0.300315 13.645 0.0 0.0 0.0
289.0 1.9355200000000001 0.276129 13.212 0.0 0.0 0.0
290.0 1.8773400000000002 0.25798899999999997 12.781 0.0 0.0 0.0
291.0 1.8191700000000002 0.233803 12.288 0.0 0.0 0.0
292.0 1.75902 0.216671 11.73 0.0 0.0 0.0
293.0 1.70282 0.19853099999999999 11.191 0.0 0.0 0.0
294.0 1.64465 0.186437 10.662 0.0 0.0 0.0
295.0 1.58746 0.168298 10.144 0.0 0.0 0.0
296.0 1.5332299999999999 0.156204 9.644 0.0 0.0 0.0
297.0 1.4770299999999998 0.145119 9.171 0.0 0.0 0.0
298.0 1.42083 0.13806400000000002 8.715 0.0 0.0 0.0
299.0 1.36955 0.126979 8.269 0.0 0.0 0.0
300.0 1.3192700000000002 0.11488599999999999 7.841 0.01 0.0 0.0
301.0 1.26997 0.108839 7.445 0.06 0.0 0.0
302.0 1.22264 0.10279300000000001 7.058 1.07 0.0 0.0
303.0 1.1772799999999999 0.09724980000000001 6.679 5.3 0.0 0.0
304.0 1.1339 0.0914047 6.331 12.38 0.0 0.0
305.0 1.0895299999999999 0.0844511 5.907 19.87 0.0 0.0
306.0 1.0491 0.07759830000000001 5.5 23.74 0.0 0.0
307.0 1.00868 0.070947 5.133 24.66 0.0 0.0
308.0 0.970224 0.06449730000000001 4.782 30.22 0.0 0.0
309.0 0.9327559999999999 0.05814830000000001 4.461 34.95 0.0 0.0
310.0 0.8972600000000001 0.0572413 4.148 34.83 0.0 0.0
311.0 0.861764 0.051194699999999996 3.864 35.3 0.0 0.0
312.0 0.829226 0.0502877 3.601 37.34 0.0 0.0
313.0 0.795702 0.044442699999999995 3.338 39.7 0.0 0.0
314.0 0.7651359999999999 0.043636400000000006 3.101 39.47 0.0 0.0
315.0 0.73457 0.03900069999999999 2.949 38.16 0.0 0.0
316.0 0.705976 0.0392023 2.801 36.7 0.0 0.0
317.0 0.6773819999999999 0.034465699999999995 2.662 36.58 0.0 0.0
318.0 0.649774 0.0346673 2.526 38.22 0.0 0.0
319.0 0.623152 0.0299308 2.4 41.2 0.0 0.0
320.0 0.5975159999999999 0.0300315 2.229 44.22 0.0 0.0
321.0 0.572866 0.0285199 2.121 41.58 0.0 0.0
322.0 0.548216 0.0270082 2.01 37.46 0.0 0.0
323.0 0.524552 0.025496599999999998 1.913 38.47 0.0 0.0
324.0 0.5018739999999999 0.0245896 1.813 42.8 0.0 0.0
325.0 0.480182 0.0235818 1.711 44.65 0.0 0.0
326.0 0.45848999999999995 0.0224733 1.611 45.73 0.0 0.0
327.0 0.437784 0.0214655 1.518 47.33 0.0 0.0
328.0 0.41806400000000005 0.0204577 1.434 47.7 0.0 0.0
329.0 0.39834400000000003 0.0193492 1.352 47.14 0.0 0.0
330.0 0.37961 0.0183414 1.267 46.96 0.0 0.0
331.0 0.36186199999999996 0.017333599999999998 1.251 47.42 0.0 0.0
332.0 0.3451 0.0162251 1.235 48.29 0.0 0.0
333.0 0.328338 0.0152173 1.219 47.13 0.0 0.0
334.0 0.311576 0.0152173 1.203 43.58 0.0 0.0
335.0 0.296786 0.0151165 1.187 41.59 0.0 0.0
336.0 0.281996 0.0150158 1.171 42.12 0.0 0.0
337.0 0.267206 0.0150158 1.155 41.58 0.0 0.0
338.0 0.253402 0.014915000000000001 1.139 39.43 0.0 0.0
339.0 0.24058400000000002 0.0138064 1.124 38.79 0.0 0.0
340.0 0.227766 0.012798700000000001 1.108 41.02 0.0 0.0
341.0 0.21593400000000001 0.0117909 1.092 43.56 0.0 0.0
342.0 0.204102 0.0106824 1.077 43.37 0.0 0.0
343.0 0.19325599999999998 0.0 1.062 41.07 0.0 0.0
344.0 0.183396 0.0 1.047 39.37 0.0 0.0
345.0 0.17255 0.0 1.032 39.64 0.0 0.0
346.0 0.163676 0.0 1.017 40.9 0.0 0.0
347.0 0.154802 0.0 1.003 41.28 0.0 0.0
348.0 0.145928 0.0 0.989 40.35 0.0 0.0
349.0 0.13804 0.0 0.974 39.49 0.0 0.0
350.0 0.130152 0.0 0.961 39.72 0.0 0.0
351.0 0.12325 0.0 0.947 40.77 0.01 0.0
352.0 0.11634800000000001 0.0 0.934 41.76 0.01 0.0
353.0 0.11043199999999999 0.0 0.921 42.06 0.01 0.0
354.0 0.10451600000000001 0.0 0.908 42.06 0.01 0.0
355.0 0.0986 0.0 0.895 42.42 0.02 0.0
356.0 0.09367 0.0 0.883 43.51 0.02 0.0
357.0 0.08874 0.0 0.871 45.1 0.03 0.0
358.0 0.08479600000000001 0.0 0.859 46.2 0.03 0.0
359.0 0.07986599999999999 0.0 0.848 46.23 0.04 0.0
360.0 0.076908 0.0 0.837 45.39 0.05 0.0
361.0 0.072964 0.0 0.826 45.08 0.06 0.0
362.0 0.070006 0.0 0.816 46.1 0.08 0.0
363.0 0.067048 0.0 0.806 47.7 0.1 0.0
364.0 0.065076 0.0 0.797 48.59 0.12 0.0
365.0 0.063104 0.0 0.787 48.21 0.15 0.0
366.0 0.061132000000000006 0.0 0.778 47.75 0.18 0.0
367.0 0.059160000000000004 0.0 0.77 48.21 0.22 0.0
368.0 0.058174000000000003 0.0 0.761 49.16 0.27 0.0
369.0 0.057188 0.0 0.753 49.59 0.33 0.0
370.0 0.056201999999999995 0.0 0.745 49.09 0.4 0.0
371.0 0.055215999999999994 0.0 0.738 48.14 0.5 0.0
372.0 0.055215999999999994 0.0 0.731 47.18 0.63 0.0
373.0 0.054229999999999993 0.0 0.724 46.25 0.8 0.0
374.0 0.054229999999999993 0.0 0.717 45.88 1.0 0.0
