wavelength ROTSEIII atm
300 0.0 0.03192
301 0.0018 0.04632
302 0.0036 0.06375
303 0.0054 0.08292999999999999
304 0.0072 0.1051
305 0.009 0.1272
306 0.0108 0.149
307 0.0126 0.1698
308 0.0144 0.1893
309 0.0162 0.2075
310 0.018 0.2247
311 0.019799999999999998 0.2417
312 0.0216 0.2596
313 0.0234 0.2798
314 0.0252 0.3042
315 0.027 0.3354
316 0.0288 0.3461
317 0.0306 0.3572
318 0.0324 0.3686
319 0.0342 0.37439999999999996
320 0.036 0.3802
321 0.0378 0.39066
322 0.039599999999999996 0.40112
323 0.0414 0.41158
324 0.0432 0.42203999999999997
325 0.045 0.4325
326 0.0468 0.43998
327 0.0486 0.44745999999999997
328 0.0504 0.45494
329 0.052199999999999996 0.46242
330 0.054 0.4699
331 0.055799999999999995 0.47615999999999997
332 0.0576 0.48241999999999996
333 0.0594 0.48868
334 0.0612 0.49494
335 0.063 0.5012
336 0.0648 0.50592
337 0.06659999999999999 0.51064
338 0.0684 0.51536
339 0.0702 0.52008
340 0.072 0.5248
341 0.0738 0.52874
342 0.0756 0.53268
343 0.0774 0.53662
344 0.07919999999999999 0.54056
345 0.081 0.5445
346 0.0828 0.54858
347 0.0846 0.5526599999999999
348 0.0864 0.55674
349 0.0882 0.56082
350 0.09 0.5649
351 0.0972 0.5686605633802816
352 0.10439999999999999 0.5724211267605633
353 0.1116 0.576181690140845
354 0.11879999999999999 0.5799422535211267
355 0.126 0.5837028169014084
356 0.13319999999999999 0.5874633802816901
357 0.1404 0.5912239436619717
358 0.1476 0.5931230769230769
359 0.1548 0.5948153846153846
360 0.16199999999999998 0.5965076923076923
361 0.1692 0.5982
362 0.1764 0.5998923076923077
363 0.18359999999999999 0.6015846153846154
364 0.1908 0.604270588235294
365 0.198 0.6084470588235293
366 0.2052 0.6126235294117647
367 0.21239999999999998 0.6168
368 0.2196 0.6209764705882354
369 0.2268 0.6251529411764707
370 0.23399999999999999 0.6293294117647059
371 0.2412 0.6328303797468355
372 0.24839999999999998 0.6358810126582279
373 0.2556 0.6389316455696203
374 0.26280000000000003 0.6419822784810127
375 0.27 0.6450329113924052
376 0.2772 0.6480835443037976
377 0.2844 0.65113417721519
378 0.29159999999999997 0.6541848101265824
379 0.29879999999999995 0.6572354430379748
380 0.306 0.6602860759493672
381 0.3132 0.6633367088607596
382 0.3204 0.666387341772152
383 0.3276 0.6694379746835444
384 0.3348 0.6724886075949368
385 0.34199999999999997 0.6755392405063292
386 0.34919999999999995 0.6785898734177216
387 0.35639999999999994 0.6803724137931035
388 0.36360000000000003 0.6818379310344828
389 0.3708 0.6833034482758621
390 0.378 0.6847689655172414
391 0.3852 0.6862344827586208
392 0.39239999999999997 0.6877
393 0.39959999999999996 0.6891655172413793
394 0.40679999999999994 0.6906310344827586
395 0.41400000000000003 0.692096551724138
396 0.4212 0.6935620689655172
397 0.4284 0.6950275862068965
398 0.4356 0.6964931034482759
399 0.44279999999999997 0.6979586206896552
400 0.45 0.6994241379310344
401 0.4544 0.7008896551724138
402 0.4588 0.7023551724137931
403 0.4632 0.7038206896551724
404 0.4676 0.705506106870229
405 0.47200000000000003 0.7075213740458015
406 0.4764 0.709536641221374
407 0.4808 0.7115519083969465
408 0.4852 0.713567175572519
409 0.48960000000000004 0.7155824427480916
410 0.494 0.7175977099236641
411 0.4984 0.7196129770992367
412 0.5028 0.7216282442748091
413 0.5072 0.7236435114503816
414 0.5116 0.7256587786259542
415 0.516 0.7276740458015267
416 0.5204 0.7296893129770993
417 0.5248 0.7317988636363636
418 0.5292 0.7341284090909092
419 0.5336000000000001 0.7364579545454546
420 0.538 0.7387875
421 0.5424 0.7411170454545455
422 0.5468000000000001 0.7434465909090909
423 0.5512 0.7457761363636364
424 0.5556 0.7481056818181818
425 0.56 0.7504352272727273
426 0.5644 0.7522746411483254
427 0.5688 0.7536239234449761
428 0.5732 0.7549732057416269
429 0.5776 0.7563224880382775
430 0.5820000000000001 0.7576717703349283
431 0.5864 0.759021052631579
432 0.5908 0.7603703349282297
433 0.5952 0.7617196172248805
434 0.5996 0.7630688995215311
435 0.604 0.7644181818181819
436 0.6084 0.7657674641148327
437 0.6128 0.7671167464114833
438 0.6172 0.7684660287081341
439 0.6216 0.7698153110047847
440 0.626 0.7711645933014355
441 0.6304000000000001 0.7725138755980862
442 0.6348 0.7738631578947369
443 0.6392 0.7752124401913876
444 0.6436000000000001 0.7765617224880383
445 0.648 0.7779110047846891
446 0.6524000000000001 0.7792602870813398
447 0.6568 0.7806529411764707
448 0.6612 0.7820745098039217
449 0.6656 0.7834960784313726
450 0.67 0.7849176470588236
451 0.6732 0.7863392156862745
452 0.6764 0.7877607843137255
453 0.6796 0.7891823529411764
454 0.6828000000000001 0.7906039215686275
455 0.686 0.7920254901960784
456 0.6892 0.7934470588235294
457 0.6924 0.7947073059360731
458 0.6956 0.7957255707762557
459 0.6988 0.7967438356164384
460 0.7020000000000001 0.797762100456621
461 0.7052 0.7987803652968036
462 0.7084 0.7997986301369863
463 0.7116 0.8008168949771689
464 0.7148 0.8018351598173515
465 0.718 0.8028534246575343
466 0.7212000000000001 0.8038716894977169
467 0.7244 0.8048899543378996
468 0.7276 0.8059082191780822
469 0.7308 0.8069264840182648
470 0.734 0.8079447488584475
471 0.7372 0.8089630136986301
472 0.7404 0.8099812785388127
473 0.7436 0.8109995433789954
474 0.7468 0.812017808219178
475 0.75 0.8130360730593608
476 0.7532 0.8140543378995434
477 0.7564 0.815072602739726
478 0.7596 0.8160908675799087
