DATE        FILTER  AIRMASS
2017/10/20      g   1.2
2017/10/20.1    r   1.2
2017/10/21      g   1.2
2017/10/21.1    i   1.2
2017/10/22      g   1.2
2017/10/22.1    r   1.2
2017/10/23      g   1.2
2017/10/23.1    i   1.2
2017/10/24      g   1.2
2017/10/24.1    r   1.2
2017/10/25      g   1.2
2017/10/25.1    i   1.2
2017/10/26      g   1.2
2017/10/26.1    r   1.2
2017/10/27      g   1.2
2017/10/27.1    i   1.2
2017/10/28      g   1.2
2017/10/28.1    r   1.2
2017/10/29      g   1.2
2017/10/29.1    i   1.2
2017/11/28      g   1.2
2017/11/28.1    r   1.2
2017/11/29      g   1.2
2017/11/29.1    i   1.2
2017/11/30      g   1.2
2017/11/30.1    r   1.2
2017/12/01      g   1.2
2017/12/01.1    i   1.2
2017/12/02      g   1.2
2017/12/02.1    r   1.2
2017/12/03      g   1.2
2017/12/03.1    i   1.2
2017/12/04      g   1.2
2017/12/04.1    r   1.2
2017/12/05      g   1.2
2017/12/05.1    i   1.2
2017/12/06      g   1.2
2017/12/06.1    r   1.2
2017/12/07      g   1.2
2017/12/07.1    i   1.2
2018/01/05      g   1.2
2018/01/05.1    i   1.2
2018/01/06      g   1.2
2018/01/06.1    r   1.2
2018/01/07      g   1.2
2018/01/07.1    i   1.2
2018/01/08      g   1.2
2018/01/08.1    r   1.2
2018/01/09      g   1.2
2018/01/09.1    i   1.2
2018/01/10      g   1.2
2018/01/10.1    r   1.2
2018/01/11      g   1.2
2018/01/11.1    i   1.2
2018/01/12      g   1.2
2018/01/12.1    r   1.2
2018/01/13      g   1.2
2018/01/13.1    i   1.2
2018/01/14      g   1.2
2018/01/14.1    r   1.2
