MJD FILTER
57072.160557 g
57072.16192 g
57072.1632386 g
57072.1658917 g
57072.1672327 g
57072.1746915 g
57072.1760503 g
57072.1773785 g
57072.1787153 g
57072.1841857 g
57072.1855699 g
57072.1869637 g
57072.1883494 g
57072.1937921 g
57072.1951827 g
57072.1965412 g
57072.1978605 g
57072.202007 g
57072.2033896 g
57072.2047875 g
57072.2061722 g
57072.2075648 g
57072.2089537 g
57072.2103164 g
57072.2129706 g
57072.2143034 g
57072.2156263 g
57072.2196423 g
57072.2209655 g
57072.2223061 g
57072.2236588 g
57072.2250374 g
57072.2263896 g
57072.2290578 g
57072.230482 g
57072.2318689 g
57072.2346584 g
57072.2360367 g
57072.2392548 g
57072.2432565 g
57072.2446089 g
57072.2459911 g
57072.2473794 g
57072.2529308 g
57072.2543334 g
57072.2557213 g
57072.2571045 g
57072.2624662 g
57072.2637922 g
57072.2652032 g
57072.2665971 g
57072.2707683 g
57072.2721342 g
57072.2735374 g
57072.274924 g
57072.2763286 g
57072.277707 g
57072.2790676 g
57072.2817475 g
57072.2831408 g
57072.2845323 g
57072.2885502 g
57072.2898749 g
57072.2912262 g
57072.2926451 g
57072.2940204 g
57072.2954066 g
57072.2981874 g
57072.2995506 g
57072.3008771 g
57072.3036265 g
57072.3050151 g
57072.3083748 g
57072.3125484 g
57072.3139016 g
57072.3152287 g
57072.3165942 g
57072.3220579 g
57072.3233977 g
57072.324745 g
57072.3260658 g
57072.3316361 g
57072.3330242 g
57072.3344124 g
57072.3358062 g
57072.3399719 g
57072.3413305 g
57072.3426596 g
57072.3439983 g
57072.3453254 g
57072.3466608 g
57072.3480749 g
57072.3508608 g
57072.3522409 g
57072.3536305 g
57072.3576403 g
57072.3589623 g
57072.3603066 g
57072.361653 g
57072.3629709 g
57072.3643194 g
57072.3669837 g
57072.3683392 g
57072.3697158 g
57072.3725058 g
57072.3738825 g
57073.0315378 g
57073.035524 g
57073.0368807 g
57073.0382042 g
57073.0395235 g
57073.0448694 g
57073.0461951 g
57073.0475212 g
57073.0488678 g
57073.0542127 g
57073.0556025 g
57073.0569635 g
57073.0582944 g
57073.0623806 g
57073.0637392 g
57073.0650564 g
57073.0663917 g
57073.0677412 g
57073.069138 g
57073.0704955 g
57073.0731763 g
57073.0745012 g
57073.0758386 g
57073.0798614 g
57073.0811934 g
57073.0825483 g
57073.0839632 g
57073.0853395 g
57073.086693 g
57073.0893543 g
57073.0907063 g
57073.0920296 g
57073.0946888 g
57073.0960143 g
57073.0992293 g
57073.1032257 g
57074.0294249 g
57074.0333764 g
57074.0347289 g
57074.036049 g
57074.0373691 g
57074.0426536 g
57074.0439752 g
57074.0452866 g
57074.0466056 g
57074.0519003 g
57074.0532771 g
57074.0546189 g
57074.0559284 g
57074.0598913 g
57074.0612409 g
57074.0625528 g
57074.0638705 g
57074.0651776 g
57074.0664935 g
57074.0678347 g
57074.0705368 g
57074.0719185 g
57074.0732364 g
57074.0772132 g
57074.0785259 g
57074.0798627 g
57074.083858 g
57074.0864873 g
57074.0891424 g
57074.0917728 g
57074.2922935 g
57074.3002686 g
57074.3189177 g
57074.3202949 g
57074.3216873 g
57074.3229945 g
57074.3271224 g
57074.3299007 g
57074.3312182 g
57074.3325413 g
57074.3338521 g
57074.335195 g
57074.3392899 g
57074.3473916 g
57074.350027 g
57074.3553646 g
57074.3593197 g
57075.0266769 g
57075.0306619 g
57075.0320227 g
57075.0333523 g
57075.0346941 g
57075.0400509 g
57075.0413786 g
57075.0427147 g
57075.0440347 g
57075.0494839 g
57075.0508109 g
57075.0522554 g
57075.0576025 g
57075.0589759 g
57075.0603005 g
57075.0616322 g
57075.06296 g
57075.0642861 g
57075.0656509 g
57075.0682983 g
57075.0696416 g
57075.0709624 g
57075.075046 g
57075.076376 g
57075.0777191 g
57075.0790603 g
57075.0803828 g
57075.0817353 g
57075.0844046 g
57075.0857622 g
57075.087085 g
57075.0897401 g
57075.0910912 g
57075.094281 g
57075.0982671 g
57075.0996316 g
57075.1009618 g
57075.1022938 g
57075.107637 g
57075.1089609 g
57075.1103064 g
57075.1116362 g
57075.1169513 g
57075.1182882 g
57075.1196368 g
57075.1209698 g
57075.1249649 g
57075.1263284 g
57075.1276512 g
57075.128985 g
57075.1303105 g
57075.1316457 g
57075.1329992 g
57075.1356693 g
57075.1370012 g
57075.1383287 g
57075.1423407 g
57075.1436721 g
57075.1450198 g
57075.1463748 g
57075.1476942 g
57075.1490481 g
57075.1517074 g
57075.1530566 g
57075.1543901 g
57075.157039 g
57075.1583781 g
57075.1615884 g
57075.1655768 g
57075.1669356 g
57075.1683354 g
57075.1697195 g
57075.1751644 g
57075.1765496 g
57075.1779393 g
57075.179325 g
57075.1847679 g
57075.1861573 g
57075.1875338 g
57075.1889276 g
57075.193096 g
57075.1944674 g
57075.1957933 g
57075.1971216 g
57075.1984351 g
57075.1998146 g
57075.2011736 g
57075.2038295 g
57075.2051724 g
57075.2065075 g
57075.2106837 g
57075.2120756 g
57075.2134724 g
57075.2161411 g
57075.2175026 g
57075.2202993 g
57075.2216633 g
57075.2230031 g
57075.2256573 g
57075.226999 g
57075.2302587 g
57075.2344273 g
57075.2357919 g
57075.2371175 g
57075.2384667 g
57075.2439478 g
57075.2452892 g
57075.2466073 g
57075.2479373 g
57075.2535318 g
57075.2549028 g
57075.2562616 g
57075.2575956 g
57075.2617824 g
57075.2631529 g
57075.2645073 g
57075.2658948 g
57075.2672855 g
57075.2686767 g
57075.2700366 g
57075.2727026 g
57075.2740416 g
57075.2753659 g
57075.2795639 g
57075.2809447 g
57075.2823316 g
57075.2837214 g
57075.2850483 g
57075.2864195 g
57075.2890649 g
57075.2904228 g
57075.2917489 g
57075.2944351 g
57075.2957669 g
57075.2989753 g
57075.3030519 g
57075.3044146 g
57075.3057461 g
57075.3070866 g
57075.3125409 g
57075.3139272 g
57075.3152493 g
57075.316578 g
57075.3221541 g
57075.3235386 g
57075.3248966 g
57075.3262361 g
57075.3302265 g
57075.3316381 g
57075.3330296 g
57075.3344133 g
57075.3358208 g
57075.3371877 g
57075.3385839 g
57075.3413719 g
57075.3427522 g
57075.3441569 g
57075.3481681 g
57075.3495036 g
57075.3508478 g
57075.3522402 g
57075.3535566 g
57075.3549069 g
57075.3576762 g
57075.3590439 g
57075.3603768 g
57075.3630387 g
57077.0790526 g
57077.08304 g
57077.084393 g
57077.0857227 g
57077.087046 g
57077.0923897 g
57077.0937226 g
57077.0950469 g
57077.0963837 g
57077.1017369 g
57077.1030671 g
57077.1044268 g
57077.1057418 g
57077.1097248 g
57077.1110959 g
57077.1124206 g
57077.1137551 g
57077.1150815 g
57077.1164402 g
57077.1178 g
57077.1204493 g
57077.1217682 g
57077.1230908 g
57077.1271138 g
57077.1284464 g
57077.1297836 g
57077.1311331 g
57077.1324391 g
57077.1338111 g
57077.1364573 g
57077.1396232 g
57077.1436587 g
57077.1450648 g
57077.146451 g
57077.1478394 g
57077.1533081 g
57077.1546506 g
57077.1559806 g
57077.1573194 g
57077.1628915 g
57077.1642787 g
57077.1656386 g
57077.1669688 g
57077.1709629 g
57077.1723745 g
57077.1737661 g
57077.1751576 g
57077.1765457 g
57077.1779301 g
57077.1792837 g
57077.1819483 g
57077.1832871 g
57077.1846126 g
57077.1886985 g
57077.1900865 g
57077.1914337 g
57077.1927799 g
57077.194101 g
57077.1954535 g
57077.1980977 g
57077.1994473 g
57077.2007616 g
57077.2034114 g
57077.2047842 g
57078.1865287 g
57078.1878806 g
57078.1892737 g
57078.190664 g
57078.1920532 g
57078.1934401 g
57078.1948284 g
57078.1962165 g
57078.1975484 g
57078.1989023 g
57078.2002822 g
57078.2016791 g
57078.203057 g
57078.2044361 g
57080.0704247 g
57080.0744115 g
57080.0757607 g
57080.0770922 g
57080.0784214 g
57080.0837553 g
57080.0850948 g
57080.0864167 g
57080.0877527 g
57080.093114 g
57080.0944461 g
57080.0958033 g
57080.0971428 g
57080.1011363 g
57080.1024985 g
57080.103822 g
57080.1051523 g
57080.1064724 g
57080.1118195 g
57080.1131535 g
57080.1144756 g
57080.1184953 g
57080.1198226 g
57080.1225093 g
57080.1238318 g
57080.1251863 g
57080.1278548 g
57080.1292144 g
57080.1305508 g
57080.1332244 g
57080.1345549 g
57080.1378143 g
57080.1417945 g
57080.14321 g
57080.1445979 g
57080.1459937 g
57080.1514506 g
57080.152777 g
57080.1541015 g
57080.15544 g
57080.1609666 g
57080.1651 g
57080.1692567 g
57080.1706174 g
57080.171941 g
57080.1813153 g
57080.1826469 g
57080.188233 g
57080.1909741 g
57080.1923068 g
57080.1936658 g
57080.1978099 g
57080.1991346 g
57080.2017908 g
57080.2031318 g
57090.2108316 g
57090.2123458 g
57090.2138618 g
57090.2154364 g
57090.216975 g
57090.2185025 g
57090.2200634 g
57090.2281613 g
57090.2483062 g
57090.2513582 g
57090.254461 g
57090.2590604 g
57095.1563902 g
57095.1577775 g
57095.1975698 g
57095.2029098 g
